rank,Company ID,Investor,Capital Group,Current Holdings (objects),Holdings Area (m²),Main Holding Type,Main Holding Cities,Active Property Types,Active Cities,Active Regions,Entities / Vehicles Used,Last Activity
4681,4c48b00f-c8f6-419c-a5d2-da2b723242e8,Bagesh GmbH,Private,1,2341.9428552,Dev Site,Aachen,Dev Site,Aachen,North Rhine-Westphalia,,2021-08-24 00:00:00
4682,4c48b00f-c8f6-419c-a5d2-da2b723242e8,"Feser, Graf & Co. Automobil Holding GmbH",Private,1,9999.756,Dev Site,Nuremberg,Dev Site,Nuremberg,Bavaria,,2022-09-29 00:00:00
4683,e27ce0ab-e4d8-4aa2-b8d3-741c26f635e6,Minimax Fire Solutions International GmbH,User/Other,1,3199.92192,Office,Cologne,Office,Cologne,North Rhine-Westphalia,,2022-02-01 00:00:00
4684,463f6584-5aaa-4c8f-9d1c-72ac78c30c0d,Projekt Fonds Gruppe,Institutional,1,2242.9452708,Dev Site,Munich,Dev Site,Munich,Bavaria,,2012-06-18 00:00:00
4685,4c48b00f-c8f6-419c-a5d2-da2b723242e8,Private Assets,Private,1,9099.77796,Industrial,Ostbevern,Industrial,Ostbevern,North Rhine-Westphalia,,2023-12-29 00:00:00
4686,e27ce0ab-e4d8-4aa2-b8d3-741c26f635e6,Lippische Vermögensverwaltungsgesellschaft m.b.H.,User/Other,1,8999.70549941098,Office,Munster,Office,Munster,North Rhine-Westphalia,,2007-07-30 00:00:00
4687,1c4c38e6-d637-45cd-a14a-76afca45b074,Gemeinschaft Deutsche Altenhilfe,Institutional,1,,Seniors Housing & Care,Bad Homburg vor der Hohe,Seniors Housing & Care,Bad Homburg vor der Hohe,Hesse,,2012-01-03 00:00:00
4688,e27ce0ab-e4d8-4aa2-b8d3-741c26f635e6,Omnitron Griese,User/Other,1,9999.756,Dev Site,Hilchenbach,Dev Site,Hilchenbach,North Rhine-Westphalia,,2014-11-30 00:00:00
4689,4c48b00f-c8f6-419c-a5d2-da2b723242e8,Forest Investments Sarl,Private,1,14999.634,Office,Dortmund,Office,Dortmund,North Rhine-Westphalia,,2019-12-01 00:00:00
4690,e27ce0ab-e4d8-4aa2-b8d3-741c26f635e6,Arbeitergeberverband Gesamtmetall,User/Other,1,2329.943148,Office,Berlin,Office,Berlin,Berlin,,2002-06-01 00:00:00
4691,4c48b00f-c8f6-419c-a5d2-da2b723242e8,Umarex GmbH,Private,1,24999.39,Dev Site,Arnsberg,Dev Site,Arnsberg,North Rhine-Westphalia,,2012-01-27 00:00:00
4692,6044ce05-e96d-403e-8ee3-ed87d92e696a,ROY ROBSON FASHION GmbH & Co. KG,User/Other,1,54998.658,Dev Site,Luneburg,Dev Site,Luneburg,Lower Saxony,,2015-03-19 00:00:00
4693,e27ce0ab-e4d8-4aa2-b8d3-741c26f635e6,PalNet GmbH Air Cargo Products,User/Other,1,7999.8048,Dev Site,Wiesbaum,Dev Site,Wiesbaum,Rhineland-Palatinate,,2019-06-12 00:00:00
4694,e27ce0ab-e4d8-4aa2-b8d3-741c26f635e6,Gastro GmbH,User/Other,1,8999.7804,Industrial,Wiesbaum,Industrial,Wiesbaum,Rhineland-Palatinate,,2018-08-17 00:00:00
4695,e27ce0ab-e4d8-4aa2-b8d3-741c26f635e6,Heo GmbH,User/Other,1,19999.512,Dev Site,Herxheim bei Landau/ Pfalz,Dev Site,Herxheim bei Landau/ Pfalz,Rhineland-Palatinate,,2019-05-20 00:00:00
4696,4c48b00f-c8f6-419c-a5d2-da2b723242e8,VS Logistics,Private,1,9999.756,Industrial,Kurnach,Industrial,Kurnach,Bavaria,,2013-09-01 00:00:00
4697,4c48b00f-c8f6-419c-a5d2-da2b723242e8,Heinrich Immobilien GmbH,Private,1,,Apartment,Stuttgart,Apartment,Stuttgart,Baden-Wurttemberg,,2013-05-06 00:00:00
4698,b2183e99-2edd-4469-80d0-4e80a3ae4cc1,Bico Group,User/Other,1,3036.9258972,Dev Site,Berlin,Dev Site; Office,Berlin,Berlin,,2023-12-31 00:00:00
4699,c1f643a0-3191-4dee-a706-a9197f6cb08e,GPI Denmark,Private,1,1595.9610576,Retail,Hamburg,Retail,Hamburg,Hamburg,,2015-04-02 00:00:00
4700,abad3be0-aaf7-42e8-ab87-a88e220b0684,Freie Scholle,User/Other,1,7499.817,Dev Site,Berlin,Dev Site,Berlin,Berlin,,2017-04-28 00:00:00
