rank,Company ID,Investor,Capital Group,Current Holdings (objects),Holdings Area (m²),Main Holding Type,Main Holding Cities,Active Property Types,Active Cities,Active Regions,Entities / Vehicles Used,Last Activity
321,9e5786e9-7c92-4e20-9cd2-3b021f9ba9f6,DEVK,Institutional,6,160898.0739912,Office,Cologne; Leipzig; Dusseldorf,Office,Cologne; Leipzig; Dusseldorf,North Rhine-Westphalia; Saxony; Bavaria,,2023-06-01 00:00:00
322,4f4f2831-5507-45d2-97f5-e937870bc1b1,Alphabet Inc,User/Other,6,309250.97129768,Dev Site; Office,Munich; Babenhausen; Dietzenbach,Dev Site; Office; Data Center,Munich; Babenhausen; Dietzenbach,Hesse; Bavaria; Berlin,Google,2021-09-01 00:00:00
323,8f4d9c05-5a2f-4ed4-a13d-abe782cf3aec,Demos Wohnbau,Private,6,312650.5387364,Dev Site,Munich,Dev Site; Retail; Apartment,Munich,Bavaria,,2024-06-04 00:00:00
324,a5c60988-d2d6-49b3-9653-f45d2c6f6f76,Harrison Street RE Cap,Institutional,6,13308.6752604,Apartment,Berlin; Nuremberg; Leipzig,Apartment,Berlin; Nuremberg; Leipzig,Berlin; Bavaria; Saxony,,2017-10-29 00:00:00
325,ec442f01-97cd-48c2-9a06-a52b4f373df8,Tierarzteversorgung NI,Institutional,6,130846.80726,Office; Apartment,Frankfurt am Main; Bremen; Hamburg,Office; Apartment; Hotel,Frankfurt am Main; Bremen; Hamburg,Hesse; Bremen; Hamburg,,2019-11-19 00:00:00
326,3632c741-6c87-46db-b850-b8e6c2978b5c,Arzteversorgung MV,Institutional,6,237212.2118808,Office; Retail,Hamburg; Frankfurt am Main; Hanover,Office; Retail; Hotel,Hamburg; Frankfurt am Main; Hanover,Hamburg; Hesse; Lower Saxony,,2020-03-05 00:00:00
327,ffefad3e-4229-4813-b1f5-34e3948951d8,Engler Immobilien,Private,6,310916.15236824,Dev Site; Retail,Herne; Hildesheim; Oberhausen,Dev Site; Industrial; Retail,Herne; Hildesheim; Rieste,Lower Saxony; North Rhine-Westphalia; Brandenburg,,2024-03-27 00:00:00
328,57254228-a460-4168-8d4c-fe1e04e53278,Pierre Plus,Private,6,81497.99282,Retail; Office,Rosenheim; Nuremberg; Hochstadt an der Aisch,Retail; Office,Rosenheim; Nuremberg; Hochstadt an der Aisch,Bavaria; North Rhine-Westphalia; Rhineland-Palatinate,,2018-11-06 00:00:00
329,f4037147-4daf-4975-8b52-653d3556c8cf,Belgreen Capital,Institutional,6,16717.5920808,Apartment; Office,Flensburg; Lubeck; Scharbeutz,Apartment; Office; Seniors Housing & Care,Flensburg; Lubeck; Scharbeutz,Schleswig-Holstein,,2024-06-12 00:00:00
330,f751a132-19bf-43e0-a569-4f1c1a9112e5,RCM Beteiligungs AG,Private,6,25731.3721392,Apartment; Industrial,Dresden,Apartment; Industrial; Office,Dresden; Erfurt,Saxony; Thuringia,,2020-01-22 00:00:00
331,02bd3bb7-ba35-4142-8fee-8a7167985658,Liberty Global,User/Other,6,25999.34702,Data Center,Stuttgart; Leverkusen; Hamburg,Data Center,Stuttgart; Leverkusen; Hamburg,North Rhine-Westphalia; Baden-Wurttemberg; Hamburg,,2023-02-28 00:00:00
332,b4a99c8f-3a5e-4b81-af0f-951afd10a9e6,AtlasEdge Data Centres,Private,6,25999.34702,Data Center,Stuttgart; Leverkusen; Hamburg,Data Center,Stuttgart; Leverkusen; Hamburg,North Rhine-Westphalia; Baden-Wurttemberg; Hamburg,,2023-02-28 00:00:00
333,ff3abd02-6535-4998-91f2-4201db8f66f7,Fluwo,Private,6,21713.4701784,Apartment; Office,Stuttgart; Ulm; Mannheim,Apartment; Office,Stuttgart; Ulm; Mannheim,Baden-Wurttemberg,,2018-08-24 00:00:00
334,db9e2d70-a622-48f3-977d-695c2560a933,PSG,Private,6,70998.26759999999,Industrial; Dev Site,Berlin,Industrial; Dev Site,Berlin,Berlin,,2017-06-15 00:00:00
335,5353a1a3-376b-4426-99bd-59b1496700b6,Societe Civile Sofidy Convictions Immobilieres,Private,6,,Hotel,Bremen; Frankfurt am Main; Dusseldorf,Hotel,Bremen; Frankfurt am Main; Dusseldorf,North Rhine-Westphalia; Bremen; Hesse,,2023-07-03 00:00:00
336,2e1d889f-0fa6-4496-b3d2-1bf6d59f452e,Dr Ruger Holding,Private,6,18645.5450376,Office; Retail,Dusseldorf; Berlin; Hamburg,Office; Retail; Apartment,Dusseldorf; Berlin; Hamburg,North Rhine-Westphalia; Berlin; Hamburg,,2023-12-14 00:00:00
337,f1ffc66e-189d-41bf-a010-4ed307aaf82f,Shonid Holding,Private,6,28692.8153,Industrial,Oberhausen; Brilon; Meschede,Industrial,Oberhausen; Brilon; Meschede,North Rhine-Westphalia,,2021-03-11 00:00:00
338,27b8a3f6-12ce-46e7-99d4-748110ce7c4e,C&P Immobilien AG,Private,6,,Apartment; Condo,Sankt Englmar; Dommitzsch; Grimma,Apartment; Condo,Sankt Englmar; Dommitzsch; Grimma,Saxony; Bavaria; Saxony-Anhalt,,2022-09-05 00:00:00
339,bbe477c1-bfd9-43c7-aff8-58683c9a0290,Krasemann Immobilien,Private,6,45641.8863108,Apartment; Industrial,Hanover; Braunschweig,Apartment; Office; Industrial,Hanover; Braunschweig,Lower Saxony,,2021-10-18 00:00:00
340,5ba8bdd0-5954-4a6c-b3e6-7a7f738c4fb0,Lodde Immobilien,Private,6,43638.935184,Apartment,Dusseldorf; Morsdorf,Apartment,Dusseldorf; Morsdorf,North Rhine-Westphalia; Rhineland-Palatinate,,2023-01-27 00:00:00
