rank,Company ID,Investor,Capital Group,Current Holdings (objects),Holdings Area (m²),Main Holding Type,Main Holding Cities,Active Property Types,Active Cities,Active Regions,Entities / Vehicles Used,Last Activity
2121,4c48b00f-c8f6-419c-a5d2-da2b723242e8,Consist Software Solutions GmbH,Private,1,7199.82432,Office,Kiel,Office,Kiel,Schleswig-Holstein,,2016-11-21 00:00:00
2122,4c48b00f-c8f6-419c-a5d2-da2b723242e8,L Homes,Private,1,4114.899594,Dev Site,Regensburg,Apartment; Dev Site,Regensburg,Bavaria,,2017-10-18 00:00:00
2123,e27ce0ab-e4d8-4aa2-b8d3-741c26f635e6,Beyer-Mietservice KG,User/Other,1,6899.83164,Industrial,Wiesbaden,Industrial,Wiesbaden,Hesse,,2015-11-01 00:00:00
2124,e27ce0ab-e4d8-4aa2-b8d3-741c26f635e6,Scheidtweiler Gruppe Pforzheim / CUATROB GmbH,User/Other,1,,Hotel,uberlingen,Hotel,uberlingen,Baden-Wurttemberg,,2012-09-27 00:00:00
2125,96e192bf-3fd5-46c4-b888-809c14ec6f6c,Pax Bank,Institutional,1,2599.93656,Office,Cologne,Office,Cologne,North Rhine-Westphalia,,2009-12-15 00:00:00
2126,e27ce0ab-e4d8-4aa2-b8d3-741c26f635e6,SWIF GmbH,User/Other,1,10999.7316,Dev Site,Kaiserslautern,Dev Site,Kaiserslautern,Rhineland-Palatinate,,2016-08-04 00:00:00
2127,60630261-62ba-4b45-b8c8-0c4f089fe9b7,HG Immobilien Mitte,Private,1,7632.8137548,Dev Site,Berlin,Dev Site; Office,Berlin,Berlin,,2014-10-29 00:00:00
2128,e27ce0ab-e4d8-4aa2-b8d3-741c26f635e6,Cologne Bicycle Group GmbH,User/Other,1,697.9829688,Industrial,Cologne,Industrial,Cologne,North Rhine-Westphalia,,2020-01-22 00:00:00
2129,4c48b00f-c8f6-419c-a5d2-da2b723242e8,Gauselmann Gruppe,Private,1,2999.9268,Dev Site,Siegburg,Retail; Dev Site,Wuppertal; Siegburg,North Rhine-Westphalia,,2023-11-27 00:00:00
2130,1f586486-c7e6-4454-8562-1a68bb4fe05b,Stofanel Projektentwicklung,Private,1,49998.3155,Dev Site,Berlin,Dev Site,Berlin,Berlin,,2008-04-15 00:00:00
2131,4c48b00f-c8f6-419c-a5d2-da2b723242e8,OHA Projektentwicklungsgesellschaft mbH & Co. KG,Private,1,109997.316,Dev Site,Berlin,Apartment; Dev Site,Berlin,Berlin,,2013-03-01 00:00:00
2132,77900716-b499-4657-9a63-22844ed6f8ca,KEC Corporation,Private,1,,Apartment,,Dev Site; Apartment,Berlin,Berlin,,2012-01-05 00:00:00
2133,4c48b00f-c8f6-419c-a5d2-da2b723242e8,Deutsche Studenten Wohn Bond I S.A.,Private,1,3748.9085244,Apartment,Berlin,Apartment,Berlin,Berlin,,2015-03-31 00:00:00
2134,e27ce0ab-e4d8-4aa2-b8d3-741c26f635e6,scia Systems GmbH,User/Other,1,13299.67548,Dev Site,Chemnitz,Dev Site,Chemnitz,Saxony,,2019-12-31 00:00:00
2135,4c48b00f-c8f6-419c-a5d2-da2b723242e8,Cream GmbH & Co KG,Private,1,1299.96828,Dev Site,Dusseldorf,Dev Site,Dusseldorf,North Rhine-Westphalia,,2009-11-30 00:00:00
2136,4c48b00f-c8f6-419c-a5d2-da2b723242e8,Seniorenzentrum Marienstift eV,Private,1,3599.91216,Dev Site,Oer-Erkenschwick,Dev Site,Oer-Erkenschwick,North Rhine-Westphalia,,2011-09-15 00:00:00
2137,9ae4019e-b5e5-43f5-b1a6-afa2e0970b22,BAU Bautragergesellschaft mbH,Private,1,6499.8414,Dev Site,Mannheim,Office; Dev Site,Mannheim,Baden-Wurttemberg,,2016-10-07 00:00:00
2138,e27ce0ab-e4d8-4aa2-b8d3-741c26f635e6,Fachwerk-Antik GmbH,User/Other,1,9093.7781064,Dev Site,Korschenbroich,Dev Site,Korschenbroich,North Rhine-Westphalia,,2012-02-15 00:00:00
2139,4c48b00f-c8f6-419c-a5d2-da2b723242e8,Krug Immobilien,Private,1,8399.79504,Dev Site,Marburg,Dev Site,Marburg,Hesse,,2018-08-15 00:00:00
2140,4c48b00f-c8f6-419c-a5d2-da2b723242e8,Madison,Private,1,8472.7932588,Office,Cologne,Office,Cologne,North Rhine-Westphalia,,2007-05-31 00:00:00
