rank,Company ID,Investor,Capital Group,Current Holdings (objects),Holdings Area (m²),Main Holding Type,Main Holding Cities,Active Property Types,Active Cities,Active Regions,Entities / Vehicles Used,Last Activity
3441,e27ce0ab-e4d8-4aa2-b8d3-741c26f635e6,Mailhammer-Hogl,User/Other,1,4599.88776,Industrial,Essenbach,Industrial,Essenbach,Bavaria,,2019-10-16 00:00:00
3442,e27ce0ab-e4d8-4aa2-b8d3-741c26f635e6,Weber,User/Other,1,3443.9159664,Industrial,Haan,Industrial,Haan,North Rhine-Westphalia,,2008-11-15 00:00:00
3443,ea07f226-823c-4009-9cf2-427b27346d1b,Vinci Immobilier,Private,1,61998.4872,Dev Site,Gremersdorf,Dev Site; Industrial,Gremersdorf,Schleswig-Holstein,,2023-10-11 00:00:00
3444,9b1fd83d-65cc-4041-81ad-95485d9c400b,SEW Eurodrive,User/Other,1,13999.54186624,Dev Site,Haan,Dev Site,Haan,North Rhine-Westphalia,,2021-05-14 00:00:00
3445,e27ce0ab-e4d8-4aa2-b8d3-741c26f635e6,Cryovac Gmbh & Co KG,User/Other,1,3372.9176988,Industrial,Troisdorf,Industrial,Troisdorf,North Rhine-Westphalia,,2020-09-25 00:00:00
3446,2b1b6c69-5040-4270-bb56-a5073c437946,Arzteversorgung Berlin,Institutional,1,10499.7438,Retail,Hamburg,Retail,Hamburg; Herford,Hamburg; North Rhine-Westphalia,,2022-02-25 00:00:00
3447,eaf4bf3d-c951-4ad1-b40f-9ac89e8e102a,Stadt Greifswald,User/Other,1,3599.91216,Office,Greifswald,Office,Greifswald,Mecklenburg-West Pomerania,,2024-01-23 00:00:00
3448,4c48b00f-c8f6-419c-a5d2-da2b723242e8,GBN Wohnungsunternehmen,Private,1,,Apartment,,Apartment,,Lower Saxony,,2014-04-17 00:00:00
3449,4c48b00f-c8f6-419c-a5d2-da2b723242e8,First Hotel Rostock Inv. & Projekt GmbH,Private,1,,Hotel,Rostock,Hotel,Rostock,Mecklenburg-West Pomerania,,2014-03-19 00:00:00
3450,4c48b00f-c8f6-419c-a5d2-da2b723242e8,Newton Projektentwicklungsgesellschaft mbH,Private,1,11199.633492992,Dev Site,Furstenwalde/Spree,Dev Site,Furstenwalde/Spree,Brandenburg,,2019-08-12 00:00:00
3451,eaf4bf3d-c951-4ad1-b40f-9ac89e8e102a,City of Delmenhorst,User/Other,1,11717.7140808,Retail,Delmenhorst,Retail,Delmenhorst,Lower Saxony,,2020-12-14 00:00:00
3452,4c48b00f-c8f6-419c-a5d2-da2b723242e8,Glockle & Riedel,Private,1,2062.9496628,Dev Site,Schweinfurt,Dev Site,Schweinfurt,Bavaria,,2015-03-31 00:00:00
3453,e27ce0ab-e4d8-4aa2-b8d3-741c26f635e6,Molkerei Ammerland eG,User/Other,1,41998.9752,Industrial,Westerstede,Industrial,Westerstede,Lower Saxony,,2023-12-04 00:00:00
3454,4c48b00f-c8f6-419c-a5d2-da2b723242e8,Bless Gebaudedienste GmbH & Co. KG,Private,1,7499.817,Dev Site,Mulheim an der Ruhr,Dev Site,Mulheim an der Ruhr,North Rhine-Westphalia,,2014-01-30 00:00:00
3455,4c48b00f-c8f6-419c-a5d2-da2b723242e8,Scheven Unternehmensgruppe,Private,1,14599.64376,Dev Site,Bad Wildungen,Dev Site,Bad Wildungen,Hesse,,2023-12-21 00:00:00
3456,e27ce0ab-e4d8-4aa2-b8d3-741c26f635e6,BSZ Keramikbedarf GmbH,User/Other,1,1899.95364,Industrial,Essen,Industrial,Essen,North Rhine-Westphalia,,2011-01-25 00:00:00
3457,e27ce0ab-e4d8-4aa2-b8d3-741c26f635e6,Mobelhaus Kathe Meyerhoff GmbH,User/Other,1,5499.8658,Retail,Bremerhaven,Retail,Bremerhaven,Bremen,,2017-08-27 00:00:00
3458,4c48b00f-c8f6-419c-a5d2-da2b723242e8,Firmengruppe Krekel,Private,1,29999.268,Dev Site,Westerburg,Dev Site,Westerburg,Rhineland-Palatinate,,2012-02-15 00:00:00
3459,4073cc97-68fb-45b7-bc80-b03cdc9f619b,Nordex SE,User/Other,1,7999.8048,Dev Site,Hamburg,Dev Site; Office,Hamburg,Hamburg,,2017-05-31 00:00:00
3460,e27ce0ab-e4d8-4aa2-b8d3-741c26f635e6,Will-Pemco,User/Other,1,9999.756,Industrial,Wedel,Industrial,Wedel,Schleswig-Holstein,,2015-08-15 00:00:00
