rank,Company ID,Investor,Capital Group,Current Holdings (objects),Holdings Area (m²),Main Holding Type,Main Holding Cities,Active Property Types,Active Cities,Active Regions,Entities / Vehicles Used,Last Activity
4261,4c48b00f-c8f6-419c-a5d2-da2b723242e8,Heupel und Partner Grundstucks- Verwaltungs Gbr,Private,1,24999.39,Industrial,Stadtallendorf,Industrial,Stadtallendorf,Hesse,,2011-11-30 00:00:00
4262,4c48b00f-c8f6-419c-a5d2-da2b723242e8,Pierce Capital Investments,Private,1,45998.8776,Industrial,Munich,Industrial,Munich,Bavaria,,2019-04-15 00:00:00
4263,4c48b00f-c8f6-419c-a5d2-da2b723242e8,Gemeinnuetzige Stiftung Munich,Private,1,2699.911824,Office,Hamburg,Office,Hamburg,Hamburg,,2011-05-19 00:00:00
4264,eaf4bf3d-c951-4ad1-b40f-9ac89e8e102a,City of Elmshorn,User/Other,1,9499.7682,Dev Site,Elmshorn,Dev Site,Elmshorn,Schleswig-Holstein,,2014-09-30 00:00:00
4265,4c48b00f-c8f6-419c-a5d2-da2b723242e8,Horst Busch,Private,1,4749.8841,Dev Site,Hamburg,Dev Site,Hamburg,Hamburg,,2013-01-31 00:00:00
4266,4c48b00f-c8f6-419c-a5d2-da2b723242e8,Josef Radlinger Unternehmensgruppe,Private,1,2499.939,Apartment,Munich,Apartment,Munich,Bavaria,,2024-02-21 00:00:00
4267,4c48b00f-c8f6-419c-a5d2-da2b723242e8,"Bayernfonds Immobilienverwaltung Objekte Munchen,",Private,1,4739.884344,Office,Munich,Office,Munich,Bavaria,,2012-06-01 00:00:00
4268,e27ce0ab-e4d8-4aa2-b8d3-741c26f635e6,GFT AG,User/Other,1,3475.9151856,Office,Stuttgart,Office,Stuttgart,Baden-Wurttemberg,,2017-02-06 00:00:00
4269,4c48b00f-c8f6-419c-a5d2-da2b723242e8,Pfaffinger Hochbau,Private,1,18699.54372,Dev Site,Iggensbach,Dev Site,Iggensbach,Bavaria,,2022-01-19 00:00:00
4270,e27ce0ab-e4d8-4aa2-b8d3-741c26f635e6,Sigma System Audio-Visuell GmbH,User/Other,1,4859.881416,Industrial,Dusseldorf,Industrial,Dusseldorf,North Rhine-Westphalia,,2010-12-21 00:00:00
4271,4c48b00f-c8f6-419c-a5d2-da2b723242e8,dt+p Dorkowski,Private,1,2842.9306308,Dev Site,Bremerhaven,Dev Site,Bremerhaven,Bremen,,2022-07-12 00:00:00
4272,e27ce0ab-e4d8-4aa2-b8d3-741c26f635e6,UHU GmbH & Co KG,User/Other,1,81997.9992,Dev Site,Rheinmunster,Dev Site,Rheinmunster,Baden-Wurttemberg,,2016-12-09 00:00:00
4273,e27ce0ab-e4d8-4aa2-b8d3-741c26f635e6,Gorgens Group,User/Other,1,2999.9268,Retail,Cologne,Retail,Cologne,North Rhine-Westphalia,,2008-11-15 00:00:00
4274,4c48b00f-c8f6-419c-a5d2-da2b723242e8,Deuwa Deutsche Wohn- und Anlagengesellschaft,Private,1,3359.918016,Office,Mainz,Office,Mainz,Rhineland-Palatinate,,2014-03-20 00:00:00
4275,62d1f5c7-9028-4ac6-a9a1-a023f8f731db,City of Iserlohn,User/Other,1,20999.4876,Retail,Iserlohn,Retail,Iserlohn,North Rhine-Westphalia,,2014-07-16 00:00:00
4276,e27ce0ab-e4d8-4aa2-b8d3-741c26f635e6,Nic-Systemhaus,User/Other,1,12499.695,Industrial,Eislingen/Fils,Industrial,Eislingen/Fils,Baden-Wurttemberg,,2011-10-27 00:00:00
4277,4c48b00f-c8f6-419c-a5d2-da2b723242e8,Grau Grundbesitz,Private,1,1499.9634,Office,Munster,Office,Munster,North Rhine-Westphalia,,2015-11-06 00:00:00
4278,4c48b00f-c8f6-419c-a5d2-da2b723242e8,Vermoegensgesellschafter Schuhmacher,Private,1,2832.9308748,Hotel,Munich,Hotel,Munich,Bavaria,,2011-05-20 00:00:00
4279,4c48b00f-c8f6-419c-a5d2-da2b723242e8,Invivas,Private,1,999.9756,Office,Frankfurt am Main,Office,Frankfurt am Main,Hesse,,2013-09-26 00:00:00
4280,4c48b00f-c8f6-419c-a5d2-da2b723242e8,"K & S – Dr. Krantz Sozialbau und Betreuung SE & Co. KG, Sottrum",Private,1,6699.83652,Dev Site,Zwickau,Dev Site,Zwickau,Saxony,,2015-09-08 00:00:00
