rank,Company ID,Investor,Capital Group,Current Holdings (objects),Holdings Area (m²),Main Holding Type,Main Holding Cities,Active Property Types,Active Cities,Active Regions,Entities / Vehicles Used,Last Activity
81,104a89f1-c60c-40c4-a86c-66a3ba5196e8,China Vanke,Public,17,1390560.495419456,Industrial; Dev Site,Fuldabruck; Werder (Havel); Butzbach,Industrial; Dev Site,Fuldabruck; Werder (Havel); Butzbach,Hesse; Baden-Wurttemberg; North Rhine-Westphalia,,2018-01-22 00:00:00
82,11f1f84d-cb27-45a2-b4b8-dc786dfda71a,Hopu Investment,Institutional,17,1390560.495419456,Industrial; Dev Site,Fuldabruck; Werder (Havel); Butzbach,Industrial; Dev Site,Fuldabruck; Werder (Havel); Butzbach,Hesse; Baden-Wurttemberg; North Rhine-Westphalia,,2018-01-22 00:00:00
83,6a93fddd-4d6e-410a-8e65-614b47808d5f,Bank of China,Institutional,17,1390560.495419456,Industrial; Dev Site,Fuldabruck; Werder (Havel); Butzbach,Industrial; Dev Site,Fuldabruck; Werder (Havel); Butzbach,Hesse; Baden-Wurttemberg; North Rhine-Westphalia,,2018-01-22 00:00:00
84,6aa917f0-6655-4994-8c94-b37d47b09810,SMG Eastern,Private,17,1390560.495419456,Industrial; Dev Site,Fuldabruck; Werder (Havel); Butzbach,Industrial; Dev Site,Fuldabruck; Werder (Havel); Butzbach,Hesse; Baden-Wurttemberg; North Rhine-Westphalia,,2018-01-22 00:00:00
85,ddce5a8f-741f-4ec7-8c61-98f2357fccda,Hillhouse Capital,Institutional,17,1390560.495419456,Industrial; Dev Site,Fuldabruck; Werder (Havel); Butzbach,Industrial; Dev Site,Fuldabruck; Werder (Havel); Butzbach,Hesse; Baden-Wurttemberg; North Rhine-Westphalia,,2018-01-22 00:00:00
86,191753e7-a72c-42c9-a543-82efae135bd1,Hausser-Bau Unternehmensgruppe,Private,17,222793.9352309137,Apartment; Retail,Duisburg; Dortmund; Bochum,Apartment; Office; Retail,Bochum; Dortmund; Duisburg,North Rhine-Westphalia,,2019-09-02 00:00:00
87,9ba1d2e9-8316-4010-a9c2-f0f072f208ba,AS Unternehmensgruppe,Private,17,55299.6506556,Apartment; Dev Site,Magdeburg; Leipzig; Merseburg,Apartment; Dev Site,Magdeburg; Leipzig; Merseburg,Saxony-Anhalt; Saxony,,2022-12-21 00:00:00
88,e537105d-16e1-45d7-a0e6-09735a9a357c,Revcap,Institutional,16,195862.2208452,Retail; Office,Berlin; Ravensburg; Iserlohn,Retail; Office; Seniors Housing & Care,Bielefeld; Dusseldorf; Magdeburg,North Rhine-Westphalia; Baden-Wurttemberg; Bavaria,,2021-12-02 00:00:00
89,ffc0919b-d2a5-4320-bef6-dce4f5f2b9fb,CIT Group Plc,Institutional,16,145885.0241940166,Retail; Office,Schortens; Uetze; Grube,Retail; Office; Industrial,Meissen; Nauheim; Ueckermunde,Saxony; Mecklenburg-West Pomerania; Brandenburg,,2016-09-27 00:00:00
90,f58bd8ff-046a-4c12-add7-2ef7bd9d7e50,Ernst Russ AG,Public,16,163309.0151628,Office; Apartment,Hamburg; Offenbach am Main; Frankfurt am Main,Office; Apartment; Hotel,Hamburg; Dusseldorf; Nuremberg,North Rhine-Westphalia; Hesse; Schleswig-Holstein,Assetando Captial; HCI Capital AG; Westfonds Immobilien,2020-09-01 00:00:00
