rank,Company ID,Investor,Capital Group,Current Holdings (objects),Holdings Area (m²),Main Holding Type,Main Holding Cities,Active Property Types,Active Cities,Active Regions,Entities / Vehicles Used,Last Activity
3181,e27ce0ab-e4d8-4aa2-b8d3-741c26f635e6,VOL-Stahl GmbH,User/Other,1,7273.8225144,Dev Site,"Hanau, Bruder-Grimm-Stadt",Dev Site,"Hanau, Bruder-Grimm-Stadt",Hesse,,2016-03-01 00:00:00
3182,e27ce0ab-e4d8-4aa2-b8d3-741c26f635e6,Kleinewefers Beteiligung,User/Other,1,10299.74868,Industrial,Grefrath,Industrial,Grefrath,North Rhine-Westphalia,,2016-05-31 00:00:00
3183,4c48b00f-c8f6-419c-a5d2-da2b723242e8,Stoelting Service Group GmbH,Private,1,7999.8048,Dev Site,Gelsenkirchen,Dev Site,Gelsenkirchen,North Rhine-Westphalia,,2016-03-01 00:00:00
3184,4c48b00f-c8f6-419c-a5d2-da2b723242e8,Project BISPING gmbh,Private,1,6999.8292,Dev Site,Speyer,Dev Site,Speyer,Rhineland-Palatinate,,2018-12-01 00:00:00
3185,4c48b00f-c8f6-419c-a5d2-da2b723242e8,Ralf Noreikat,Private,1,5199.87312,Dev Site,Bottrop,Dev Site,Bottrop,North Rhine-Westphalia,,2016-04-07 00:00:00
3186,4c48b00f-c8f6-419c-a5d2-da2b723242e8,Joachim Jakaytis,Private,1,5199.87312,Dev Site,Bottrop,Dev Site,Bottrop,North Rhine-Westphalia,,2016-04-07 00:00:00
3187,4c48b00f-c8f6-419c-a5d2-da2b723242e8,Nesseler Projektidee GmbH,Private,1,3549.91338,Dev Site,Aachen,Dev Site,Aachen,North Rhine-Westphalia,,2011-06-27 00:00:00
3188,4c48b00f-c8f6-419c-a5d2-da2b723242e8,Moosmayr Holding GmbH,Private,1,3052.9255068,Industrial,Augsburg,Industrial,Augsburg,Bavaria,,2022-12-21 00:00:00
3189,e27ce0ab-e4d8-4aa2-b8d3-741c26f635e6,CWB-Riku Enterprise,User/Other,1,3799.90728,Industrial,Leverkusen,Industrial,Leverkusen,North Rhine-Westphalia,,2009-01-15 00:00:00
3190,e27ce0ab-e4d8-4aa2-b8d3-741c26f635e6,Frischezentrum Frankfurt am Main Grossmarkt,User/Other,1,22999.4388,Industrial,Frankfurt am Main,Industrial,Frankfurt am Main,Hesse,,2022-03-30 00:00:00
3191,4c48b00f-c8f6-419c-a5d2-da2b723242e8,HG Grundbesitz GmbH,Private,1,5999.8536,Office,Munster,Office,Munster,North Rhine-Westphalia,,2016-08-08 00:00:00
3192,c039e837-a8a7-423f-b185-5de2d05d9593,Ewald Hohr Wohnungsbau GmbH,Private,1,32999.1948,Dev Site,Bonn,Dev Site,Bonn; Cologne,North Rhine-Westphalia,,2020-07-08 00:00:00
3193,6bccd4cc-810b-4fb4-86ca-60dfad54c640,REN Capital Invest,Private,1,1299.96828,Office,Dusseldorf,Office,Dusseldorf,North Rhine-Westphalia,,2016-04-15 00:00:00
3194,4c48b00f-c8f6-419c-a5d2-da2b723242e8,Kimmerle-Unternehmensgruppe,Private,1,1799.95608,Dev Site,Dresden,Dev Site,Dresden,Saxony,,2013-02-04 00:00:00
3195,29705626-6af3-47f3-be13-ca38384378ed,FOM Hochschule,User/Other,1,7999.8048,Dev Site,Dusseldorf,Dev Site,Dusseldorf,North Rhine-Westphalia,,2012-05-02 00:00:00
3196,e27ce0ab-e4d8-4aa2-b8d3-741c26f635e6,Duyes Grup,User/Other,1,15999.6096,Dev Site,Aachen,Dev Site,Aachen,North Rhine-Westphalia,,2016-08-04 00:00:00
3197,8e94eef5-7b24-43ba-9674-08e483aa00ce,City of Magdeburg,User/Other,1,9999.756,Office,Magdeburg,Dev Site; Office,Magdeburg,Saxony-Anhalt,,2019-11-30 00:00:00
3198,4c48b00f-c8f6-419c-a5d2-da2b723242e8,Winkler GbR,Private,1,436.9893372,Retail,Hamburg,Retail,Hamburg,Hamburg,,2016-02-01 00:00:00
3199,4c48b00f-c8f6-419c-a5d2-da2b723242e8,HPV Marzipanfabrik Gesellschaft GbR,Private,1,15179.629608,Dev Site,Hamburg,Dev Site,Hamburg,Hamburg,,2013-05-27 00:00:00
3200,4c48b00f-c8f6-419c-a5d2-da2b723242e8,Luhrs Immobilienverwaltungsgesellschaft mbH,Private,1,8670.7884276,Retail,Cuxhaven,Retail,Cuxhaven,Lower Saxony,,2013-03-18 00:00:00
