rank,Company ID,Investor,Capital Group,Current Holdings (objects),Holdings Area (m²),Main Holding Type,Main Holding Cities,Active Property Types,Active Cities,Active Regions,Entities / Vehicles Used,Last Activity
1941,4c48b00f-c8f6-419c-a5d2-da2b723242e8,VR Wohnungsgenossenschaft Nurnberg eG,Private,1,4499.8902,Apartment,Stein,Apartment,Stein,Bavaria,,2020-12-16 00:00:00
1942,4c48b00f-c8f6-419c-a5d2-da2b723242e8,SELECTRIC Nachrichten-Systeme GmbH DE,Private,1,4217.8970808,Dev Site,Gartringen,Dev Site,Gartringen,Baden-Wurttemberg,,2024-07-11 00:00:00
1943,4c48b00f-c8f6-419c-a5d2-da2b723242e8,ipe Dorsten Recklinghauser Tor GmbH,Private,1,6999.77094398632,Industrial,Dorsten,Industrial; Retail,Dorsten,North Rhine-Westphalia,,2008-06-15 00:00:00
1944,1ef22cc9-7382-4ff9-b946-bd145ebd5412,RED Property Group,Private,1,15999.6096,Dev Site,Castrop-Rauxel,Dev Site,Castrop-Rauxel,North Rhine-Westphalia,,2023-10-12 00:00:00
1945,97eadbd2-f0d5-4696-8f38-a3c5d02cca7b,ConReal Immobilien,Private,1,2499.939,Office,Frankfurt am Main,Office,Frankfurt am Main,Hesse,,2011-01-01 00:00:00
1946,4c48b00f-c8f6-419c-a5d2-da2b723242e8,Villa May GmbH,Private,1,934.977186,Retail,Frankfurt am Main,Retail,Frankfurt am Main,Hesse,,2005-12-01 00:00:00
1947,4c48b00f-c8f6-419c-a5d2-da2b723242e8,Projektgesellschaft Bockenheimer Landstrasse 33-35,Private,1,5697.8609688,Office,Frankfurt am Main,Office,Frankfurt am Main,Hesse,,2006-06-01 00:00:00
1948,99e43e22-51fe-4b5e-8368-dbedb6d9cba4,China Construction Bank,Institutional,1,3999.9024,Office,Frankfurt am Main,Office,Frankfurt am Main,Hesse,,2015-07-01 00:00:00
1949,f9dc5e1f-7dca-441e-b001-e5b116afc0ee,Tschoerner Real Estate GmbH,Private,1,2699.93412,Office,Frankfurt am Main,Office,Frankfurt am Main; Dreieich,Hesse,,2005-09-01 00:00:00
1950,2b70afb0-b4dd-432f-89eb-285819c3f05c,terrana Bauprojekt,Private,1,4699.88532,Retail,Neuss,Retail; Dev Site,Neuss; Bonn,North Rhine-Westphalia,,2022-12-01 00:00:00
1951,a285ae02-0044-4b3b-a00c-0d77354a963b,Colonia Private Equity GmbH,Institutional,1,2399.94144,Apartment,Duisburg,Apartment,Duisburg,North Rhine-Westphalia,,2018-10-07 00:00:00
1952,dff0eea9-30e5-40e2-9c82-af5ab31bd71d,Diakonisches Institut für Soziale Berufe,User/Other,1,7999.8048,Dev Site,Dornstadt,Dev Site,Dornstadt,Baden-Wurttemberg,,2014-12-31 00:00:00
1953,0398cddf-1380-4423-9608-8b30b86418d0,Evangelische Heimstiftung,User/Other,1,2149.94754,Hotel,Bad Herrenalb,Dev Site; Hotel; Office,Dornstadt; Bad Herrenalb; Stuttgart,Baden-Wurttemberg,,2015-07-18 00:00:00
1954,4c48b00f-c8f6-419c-a5d2-da2b723242e8,Thomas Strungmann,Private,1,,Hotel,Bad Wiessee,Hotel,Bad Wiessee,Bavaria,,2011-11-30 00:00:00
1955,e27ce0ab-e4d8-4aa2-b8d3-741c26f635e6,Baumer Holding AG,User/Other,1,39999.024,Dev Site,Bodman-Ludwigshafen,Dev Site,Bodman-Ludwigshafen,Baden-Wurttemberg,,2015-11-07 00:00:00
1956,e27ce0ab-e4d8-4aa2-b8d3-741c26f635e6,Drekopf GmbH & Co KG,User/Other,1,18999.5364,Dev Site,Monchengladbach,Dev Site,Monchengladbach,North Rhine-Westphalia,,2012-05-09 00:00:00
1957,c3d7372a-5d71-4176-8b05-dc74c1cfda50,BGW,Private,1,8699.78772,Dev Site,Bielefeld,Dev Site; Office,Bielefeld,North Rhine-Westphalia,,2020-12-01 00:00:00
1958,e27ce0ab-e4d8-4aa2-b8d3-741c26f635e6,Woltmann Gruppe,User/Other,1,3999.9024,Dev Site,Bremerhaven,Dev Site,Bremerhaven,Bremen,,2022-06-22 00:00:00
1959,29705626-6af3-47f3-be13-ca38384378ed,RWTH Aken,User/Other,1,12169.703052,Industrial,Aachen,Industrial,Aachen,North Rhine-Westphalia,,2019-12-19 00:00:00
1960,4c48b00f-c8f6-419c-a5d2-da2b723242e8,Architekturburo 13,Private,1,4487.8904928,Dev Site,Berlin,Dev Site,Berlin,Berlin,,2012-05-15 00:00:00
