rank,Company ID,Investor,Capital Group,Current Holdings (objects),Holdings Area (m²),Main Holding Type,Main Holding Cities,Active Property Types,Active Cities,Active Regions,Entities / Vehicles Used,Last Activity
4581,4c48b00f-c8f6-419c-a5d2-da2b723242e8,Dinslakener Flachenentwicklungsgesellschaft (DIN FLEG),Private,1,84997.2184736,Dev Site,Dinslaken,Dev Site,Dinslaken,North Rhine-Westphalia,,2019-03-01 00:00:00
4582,4c48b00f-c8f6-419c-a5d2-da2b723242e8,Salvea,Private,1,7199.82432,Office,Kleve,Office,Kleve,North Rhine-Westphalia,,2015-01-31 00:00:00
4583,e27ce0ab-e4d8-4aa2-b8d3-741c26f635e6,Jäger Fischer GmbH & Co. KG,User/Other,1,23999.4144,Dev Site,Heppenheim (Bergstrasse),Dev Site,Heppenheim (Bergstrasse),Hesse,,2015-02-28 00:00:00
4584,4c48b00f-c8f6-419c-a5d2-da2b723242e8,Deufol West GmbH,Private,1,29999.268,Dev Site,Mulheim an der Ruhr,Dev Site,Mulheim an der Ruhr,North Rhine-Westphalia,,2016-08-17 00:00:00
4585,e27ce0ab-e4d8-4aa2-b8d3-741c26f635e6,Brückner Textile Technologies GmbH & Co KG,User/Other,1,79998.048,Dev Site,Tittmoning,Dev Site,Tittmoning,Bavaria,,2016-03-08 00:00:00
4586,4c48b00f-c8f6-419c-a5d2-da2b723242e8,DTU Beta,Private,1,11612.7166428,Retail,Bergkamen,Retail,Bergkamen,North Rhine-Westphalia,,2019-04-10 00:00:00
4587,787df56e-63a1-448c-ab37-a3a6f88c4725,ABG Development,Private,1,5599.86336,Dev Site,Munich,Apartment; Dev Site,Stadtoldendorf; Munich,Lower Saxony; Bavaria,,2013-05-06 00:00:00
4588,e27ce0ab-e4d8-4aa2-b8d3-741c26f635e6,Catodica GmbH,User/Other,1,1350.9670356,Dev Site,Monchengladbach,Dev Site,Monchengladbach,North Rhine-Westphalia,,2022-04-01 00:00:00
4589,08ccbd00-ebe8-463b-b6a1-c8daa703a010,Victoria Wohnungsbau GmbH,Private,1,4889.880684,Dev Site,Leipzig,Dev Site,Leipzig,Saxony,,2020-03-31 00:00:00
4590,4c48b00f-c8f6-419c-a5d2-da2b723242e8,Viessmann and Hakan Koc,Private,1,3999.9024,Apartment,Berlin,Apartment,Berlin,Berlin,,2015-12-31 00:00:00
4591,e27ce0ab-e4d8-4aa2-b8d3-741c26f635e6,Verein Deutscher Zementwerke (VDZ),User/Other,1,5599.86336,Dev Site,Dusseldorf,Dev Site,Dusseldorf,North Rhine-Westphalia,,2013-02-19 00:00:00
4592,030fa92e-9b32-4317-8b33-d5d9d9aac3bf,NGEG,Private,1,16699.59252,Dev Site,Lubeck,Dev Site; Apartment,Lubeck; Kiel,Schleswig-Holstein,,2023-05-08 00:00:00
4593,4c48b00f-c8f6-419c-a5d2-da2b723242e8,Builders Direct S.a.,Private,1,22499.451,Office,Aachen,Office,Aachen,North Rhine-Westphalia,,2019-01-15 00:00:00
4594,4c48b00f-c8f6-419c-a5d2-da2b723242e8,Viresca GmbH,Private,1,379990.728,Dev Site,Hermeskeil,Dev Site,Hermeskeil,Rhineland-Palatinate,,2011-04-15 00:00:00
4595,300e553d-2c0b-4ad8-b0a0-f601d6ccd427,Heinz Schnorpfeil Bau,Private,1,379990.728,Dev Site,Hermeskeil,Dev Site,Hermeskeil,Rhineland-Palatinate,,2011-04-15 00:00:00
4596,eaf4bf3d-c951-4ad1-b40f-9ac89e8e102a,Municipality of Kall,User/Other,1,44998.902,Dev Site,Kall,Dev Site,Kall,North Rhine-Westphalia,,2014-12-19 00:00:00
4597,e27ce0ab-e4d8-4aa2-b8d3-741c26f635e6,psg invest,User/Other,1,40998.9996,Dev Site,Eichwalde,Dev Site,Eichwalde,Brandenburg,,2011-09-20 00:00:00
4598,4c48b00f-c8f6-419c-a5d2-da2b723242e8,Schönherr+Fritsch Bau GmbH,Private,1,31999.2192,Dev Site,Frankfurt (Oder),Dev Site,Frankfurt (Oder),Brandenburg,,2016-03-17 00:00:00
4599,4c48b00f-c8f6-419c-a5d2-da2b723242e8,Seetel Hotel GmbH,Private,1,3599.91216,Hotel,Koserow,Hotel,Koserow,Mecklenburg-West Pomerania,,2021-02-08 00:00:00
4600,4c48b00f-c8f6-419c-a5d2-da2b723242e8,Parques Reunidos Group,Private,1,,Other Hospitality,Halbe,Other Hospitality,Halbe,Brandenburg,,2018-12-12 00:00:00
