rank,Company ID,Investor,Capital Group,Current Holdings (objects),Holdings Area (m²),Main Holding Type,Main Holding Cities,Active Property Types,Active Cities,Active Regions,Entities / Vehicles Used,Last Activity
2921,8e82d73e-8540-42b6-9774-08b99059b7d7,Quattrohaus,Private,1,35999.1216,Dev Site,Cottbus,Apartment; Seniors Housing & Care; Dev Site,Cottbus; Berlin; Magdeburg,Brandenburg; Berlin; Saxony-Anhalt,,2020-02-21 00:00:00
2922,e27ce0ab-e4d8-4aa2-b8d3-741c26f635e6,Oelschlaeger Immobilien,User/Other,1,2999.9268,Office,Dusseldorf,Office,Dusseldorf,North Rhine-Westphalia,,2002-09-01 00:00:00
2923,4c48b00f-c8f6-419c-a5d2-da2b723242e8,IIG-Projektgesellschaft mbH,Private,1,2216.9459052,Dev Site,Dresden,Dev Site,Dresden,Saxony,,2018-07-10 00:00:00
2924,e27ce0ab-e4d8-4aa2-b8d3-741c26f635e6,Coroplast Group,User/Other,1,8299.79748,Industrial,Wuppertal,Industrial,Wuppertal,North Rhine-Westphalia,,2024-06-03 00:00:00
2925,d8c8ea1c-6edb-45ed-b82e-54bee84fec7b,W-Tec GmbH,Private,1,3449.91582,Office,Wuppertal,Office,Wuppertal,North Rhine-Westphalia,,2009-09-01 00:00:00
2926,4c48b00f-c8f6-419c-a5d2-da2b723242e8,Göbels Landhotel KG,Private,1,,Hotel,Rotenburg an der Fulda,Hotel,Rotenburg an der Fulda,Hesse,,2009-01-31 00:00:00
2927,e27ce0ab-e4d8-4aa2-b8d3-741c26f635e6,Xeptum Consulting,User/Other,1,22999.24735168,Dev Site,Neckarsulm,Dev Site,Neckarsulm,Baden-Wurttemberg,,2020-03-01 00:00:00
2928,4c48b00f-c8f6-419c-a5d2-da2b723242e8,Horst Wortmann,Private,1,3999.9024,Dev Site,Detmold,Dev Site,Detmold,North Rhine-Westphalia,,2013-06-20 00:00:00
2929,4c48b00f-c8f6-419c-a5d2-da2b723242e8,Georg Engelhardt GmbH & Co. Liegenschaften und Bauträger KG,Private,1,9999.756,Apartment,Munich,Apartment,Munich,Bavaria,,2010-12-31 00:00:00
2930,2e7bb062-afe6-4efd-bf95-fe559373b6f9,IZ Immobilien Zentrum AG,Private,1,26999.3412,Dev Site,Munich,Dev Site,Munich,Bavaria,,2010-11-25 00:00:00
2931,eaf4bf3d-c951-4ad1-b40f-9ac89e8e102a,Gemeinde Altenstadt,User/Other,1,22333.4550504,Dev Site,Altenstadt,Dev Site,Altenstadt,Hesse,,2022-03-23 00:00:00
2932,e27ce0ab-e4d8-4aa2-b8d3-741c26f635e6,Dennert Poraver GmbH,User/Other,1,42998.9508,Dev Site,Schlusselfeld,Dev Site,Schlusselfeld,Bavaria,,2015-08-21 00:00:00
2933,640f042b-618d-4c73-9bb4-9facd63513ce,Jan-Reiners-Center GbR,Private,1,6299.84628,Retail,Bremen,Retail,Bremen,Bremen,,2012-03-02 00:00:00
2934,4c48b00f-c8f6-419c-a5d2-da2b723242e8,Fussballverein Borussia Monchengladbach,Private,1,54998.658,Dev Site,Monchengladbach,Dev Site,Monchengladbach,North Rhine-Westphalia,,2012-02-03 00:00:00
2935,4c48b00f-c8f6-419c-a5d2-da2b723242e8,Manfred und Renate Haag,Private,1,,Hotel,Buhl,Hotel,Buhl,Baden-Wurttemberg,,2013-06-01 00:00:00
2936,4c48b00f-c8f6-419c-a5d2-da2b723242e8,Gentes Gruppe,Private,1,29999.268,Dev Site,Essen,Dev Site,Essen,North Rhine-Westphalia,,2016-01-14 00:00:00
2937,d6c65591-3440-4719-b991-be5a957e0e7c,Bayernhaus Wohn- und Gewerbebau GmbH,<unknown>,1,3602.9120868,Dev Site,Leipzig,Dev Site,Leipzig,Saxony,,2021-10-21 00:00:00
2938,e2fd4c18-0acf-4d49-9c1f-6d4c04190945,Pegasus Courtyard,Private,1,,Office,Dresden,Office,Dresden,Saxony,,2011-04-06 00:00:00
2939,4c48b00f-c8f6-419c-a5d2-da2b723242e8,A.Yoleri & Partner,Private,1,1999.9512,Dev Site,Berlin,Dev Site,Berlin,Berlin,,2022-04-25 00:00:00
2940,6bbd968f-0b06-4f5f-95e5-0c0fac0010e7,EBR Projektentwicklung,Private,1,9999.756,Office,Gottingen,Office,Gottingen,Lower Saxony,,2018-09-01 00:00:00
