rank,Company ID,Investor,Capital Group,Current Holdings (objects),Holdings Area (m²),Main Holding Type,Main Holding Cities,Active Property Types,Active Cities,Active Regions,Entities / Vehicles Used,Last Activity
1121,ce51e21f-d0ec-469d-a086-9c79d08c6778,Lenhart Global Investors,Institutional,2,56498.6214,Office,Munich; Frankfurt am Main,Office,Munich; Frankfurt am Main,Bavaria; Hesse,,2013-11-11 00:00:00
1122,ddfebee8-e6b3-4fb4-813c-949b0e2b2cc8,Matthias Ruppert,Private,2,10969.732332,Dev Site; Retail,Landau in der Pfalz; Saarburg,Dev Site; Retail,Landau in der Pfalz; Saarburg,Rhineland-Palatinate,,2018-06-01 00:00:00
1123,e27ce0ab-e4d8-4aa2-b8d3-741c26f635e6,Jungheinrich AG,User/Other,2,120997.0476,Dev Site,Kaltenkirchen; Moosburg an der Isar,Dev Site,Kaltenkirchen; Moosburg an der Isar,Schleswig-Holstein; Bavaria,,2011-07-15 00:00:00
1124,65280425-8276-469c-b692-8bdd9c709a63,South Korea,User/Other,2,5339.869704,Office,Berlin,Office,Berlin,Berlin,,2005-03-01 00:00:00
1125,1ca5ae42-025c-4b53-9eda-35133b75dc04,Alpine Finanz Immobilien AG,Private,2,12199.70232,Office; Hotel,Schonefeld; Berlin,Office; Hotel,Schonefeld; Berlin,Brandenburg; Berlin,,2017-11-16 00:00:00
1126,1e530890-b728-4409-8fdb-4c663b1db4af,Kolb Red Logistik,Private,2,54398.67264,Dev Site,Kelsterbach; Frankfurt am Main,Dev Site,Kelsterbach; Frankfurt am Main,Hesse,,2016-03-31 00:00:00
1127,6c385a1c-3b71-4a80-8cd2-3e58b534aaf8,Aricon Kunststoffwerk,User/Other,2,15499.6218,Dev Site,Solingen,Dev Site,Solingen,North Rhine-Westphalia,,2023-11-20 00:00:00
1128,7d317465-f0c1-4cd2-8de1-fb3fff58fc2f,TGR Immobilien,Institutional,2,9999.756000000001,Hotel; Office,Munich,Office; Hotel,Munich,Bavaria,,2017-09-21 00:00:00
1129,79c5657e-0518-4e03-bd8d-873908ffc0f7,Metterwoon Vastgoed,Private,2,16799.484174,Office; Apartment,Leipzig,Office; Apartment,Leipzig,Saxony; North Rhine-Westphalia,,2008-10-15 00:00:00
1130,bd5657ae-402e-4677-a035-dc18a547bcae,Hubertus-Reck-Stiftung,User/Other,2,4799.88288,Office; Retail,Munich; Landshut,Office; Retail,Munich; Landshut,Bavaria,,2011-08-23 00:00:00
1131,96ecd157-5403-467d-92cb-c9437f5aa6ff,Orange IM,Institutional,2,,Parking Facility,Hamburg,Parking Facility,Hamburg,Hamburg,,2023-04-05 00:00:00
1132,41c9b58e-e3f6-4c71-982d-830823f3dabe,Huls Gruppe,Private,2,9458.7692004,Retail; Dev Site,Bocholt; Rees,Retail; Dev Site,Bocholt; Rees,North Rhine-Westphalia,,2019-06-03 00:00:00
1133,90020830-2522-45dd-9411-5734ca1e214c,Deutscher Fussball Bund e.V. (DFB),User/Other,2,159994.847424,Dev Site,Frankfurt am Main,Dev Site,Frankfurt am Main,Hesse,,2014-11-12 00:00:00
1134,4c48b00f-c8f6-419c-a5d2-da2b723242e8,deboka Deutsche Grund Einkaufen NRW Beteiligungs GmbH & Co. KG,Private,2,9977.7565368,Retail,Monchengladbach; Konigswinter,Retail,Monchengladbach; Konigswinter,North Rhine-Westphalia,,2010-10-18 00:00:00
1135,062a895a-bb38-4dcf-8066-aaafb8a68ff9,Regional-Invest Vermogensverwaltung,Private,2,7902.278380000001,Office,Detmold,Office,Detmold,North Rhine-Westphalia,,2015-12-08 00:00:00
1136,dceec0a7-d2bf-49b9-bc4f-23093da678f2,AH Grundbesitz GmbH,Private,2,12774.68829,Hotel; Office,Aachen,Hotel; Office,Aachen,North Rhine-Westphalia,,2009-03-01 00:00:00
1137,4c48b00f-c8f6-419c-a5d2-da2b723242e8,Projektabwicklung SFB GmbH,Private,2,53998.6824,Dev Site,Worms,Dev Site,Worms,Rhineland-Palatinate,,2015-02-28 00:00:00
1138,13120de1-4d2e-4725-84f1-fc0a82c1eac3,Vakon Baugesellschaft mbH,Private,2,139996.584,Dev Site; Hotel,Neubrandenburg; Trassenheide,Dev Site; Hotel,Neubrandenburg; Trassenheide,Mecklenburg-West Pomerania,,2021-08-17 00:00:00
1139,eaf4bf3d-c951-4ad1-b40f-9ac89e8e102a,Eschborn Town Council,User/Other,2,4999.878,Office,Eschborn,Office,Eschborn,Hesse; Hamburg,,2009-02-12 00:00:00
1140,4c48b00f-c8f6-419c-a5d2-da2b723242e8,Werner Wicker,Private,2,25499.3778,Office,Bad Homburg vor der Hohe; Kronberg im Taunus,Office,Bad Homburg vor der Hohe; Kronberg im Taunus,Hesse,,2013-11-29 00:00:00
