rank,Company ID,Investor,Capital Group,Current Holdings (objects),Holdings Area (m²),Main Holding Type,Main Holding Cities,Active Property Types,Active Cities,Active Regions,Entities / Vehicles Used,Last Activity
3381,4c48b00f-c8f6-419c-a5d2-da2b723242e8,Wilhelm Gienger GmbH & Co. KG,Private,1,59998.536,Dev Site,Kornwestheim,Dev Site,Kornwestheim,Baden-Wurttemberg,,2013-08-09 00:00:00
3382,bd5657ae-402e-4677-a035-dc18a547bcae,Katholisches Familien- und Altenpflegewerk eV,User/Other,1,2547.9378288,Apartment,Munich,Apartment,Munich,Bavaria,,2020-09-11 00:00:00
3383,4c48b00f-c8f6-419c-a5d2-da2b723242e8,PEG Einkaufs- und Betriebsgenossenschaft eG,Private,1,2699.93412,Office,Munich,Office,Munich,Bavaria,,2001-06-01 00:00:00
3384,4c48b00f-c8f6-419c-a5d2-da2b723242e8,K40 GmbH,Private,1,899.97804,Office,Nuremberg,Office,Nuremberg,Bavaria,,2019-11-18 00:00:00
3385,4c48b00f-c8f6-419c-a5d2-da2b723242e8,Grundstücksgemeinschaft Riedel Wackenhut,Private,1,1195.9708176,Office,Wiesbaden,Office,Wiesbaden,Hesse,,2015-04-22 00:00:00
3386,4c48b00f-c8f6-419c-a5d2-da2b723242e8,Werner Kiefer,Private,1,,Apartment,Uetersen,Apartment,Uetersen,Schleswig-Holstein,,2009-09-15 00:00:00
3387,4c48b00f-c8f6-419c-a5d2-da2b723242e8,Westfalia BPE GmbH,Private,1,1424.96523,Dev Site,Erkrath,Dev Site,Erkrath,North Rhine-Westphalia,,2021-01-29 00:00:00
3388,4c48b00f-c8f6-419c-a5d2-da2b723242e8,Gabriele Krosche,Private,1,1999.9512,Dev Site,Dortmund,Dev Site,Dortmund,North Rhine-Westphalia,,2016-03-22 00:00:00
3389,4c48b00f-c8f6-419c-a5d2-da2b723242e8,TRE Traction Real Estate UG,Private,1,3699.90972,Office,Krefeld,Office,Krefeld,North Rhine-Westphalia,,2016-06-15 00:00:00
3390,4c48b00f-c8f6-419c-a5d2-da2b723242e8,Miller Wohnbau GmbH,Private,1,2819.931192,Dev Site,Lorsch,Dev Site,Lorsch,Hesse,,2014-12-15 00:00:00
3391,eaf4bf3d-c951-4ad1-b40f-9ac89e8e102a,"Organization for Investment, Economic and Technical Assistance of Iran",User/Other,1,999.9756,Office,Berlin,Office,Berlin,Berlin,,2015-07-22 00:00:00
3392,29c8438d-6035-466d-95b5-b59b9dad5eac,S-Bauland GmbH,Private,1,7299.82188,Dev Site,Netphen,Dev Site,Netphen,North Rhine-Westphalia,,2014-01-15 00:00:00
3393,054fea5a-8cb5-416d-97b4-a28119a52839,APS Augusta Property Services,Institutional,1,2995.9268976,Office,Munich,Retail; Office,Munich,Mecklenburg-West Pomerania; Bavaria,,2014-12-08 00:00:00
3394,e27ce0ab-e4d8-4aa2-b8d3-741c26f635e6,Alho Fagsi,User/Other,1,29999.0183313699,Industrial,Morsbach,Industrial,Morsbach,North Rhine-Westphalia,,2008-03-15 00:00:00
3395,4700f851-3fa9-4369-a4bc-4a6257a3a590,Hanseatische Real Estate Finanz Holding AG,Private,1,69998.292,Dev Site,Kaltenkirchen,Dev Site; Office; Seniors Housing & Care,Hamburg; Kaltenkirchen,Hamburg; Schleswig-Holstein,,2021-09-06 00:00:00
3396,a0d8c26d-0054-492a-a174-347e3076f428,City of Kaltenkirchen,User/Other,1,3799.90728,Hotel,Kaltenkirchen,Dev Site; Hotel,Kaltenkirchen,Schleswig-Holstein,,2024-06-12 00:00:00
3397,4c48b00f-c8f6-419c-a5d2-da2b723242e8,Lincoln Fünfte Deutsche Grundstücksgesellschaft,Private,1,,Office,Ingolstadt,Office,Ingolstadt,Bavaria,,2007-02-15 00:00:00
3398,e27ce0ab-e4d8-4aa2-b8d3-741c26f635e6,Frieling Gruppe,User/Other,1,8019.804312,Retail,Haltern am See,Retail,Haltern am See,North Rhine-Westphalia,,2014-10-15 00:00:00
3399,d4dc1814-5590-4f32-a4c4-fa10091d0cf5,Schafer Verwaltung GmbH,Institutional,1,18099.55836,Retail,Duisburg,Retail,Duisburg,North Rhine-Westphalia,,2024-07-19 00:00:00
3400,9acce215-0cc5-45a3-b609-1d7fa4ddea4c,Friedemann-Kunz-Familienstiftung,Private,1,,Hotel,Heringsdorf,Hotel,Heringsdorf,Mecklenburg-West Pomerania,,2020-12-05 00:00:00
