rank,Company ID,Investor,Capital Group,Current Holdings (objects),Holdings Area (m²),Main Holding Type,Main Holding Cities,Active Property Types,Active Cities,Active Regions,Entities / Vehicles Used,Last Activity
1161,ee7f4682-1c64-4535-b163-4ecfa9426ae6,Value One,Private,2,3847.9061088,Apartment; Dev Site,Aachen; Rostock,Apartment; Dev Site,Aachen; Rostock,North Rhine-Westphalia; Mecklenburg-West Pomerania,,2020-03-12 00:00:00
1162,6aa8577d-b7d2-49bd-9590-aac8821a8ed5,Coastline Gruppe,Private,2,10909.733796,Apartment,Siegen; Essen,Apartment,Siegen; Essen,North Rhine-Westphalia,,2020-02-21 00:00:00
1163,65024b84-53d4-4d44-899d-3a38291f7aae,Greiwing Logistics,User/Other,2,61348.50306,Industrial; Dev Site,Hamburg; Frankfurt am Main,Industrial; Dev Site,Hamburg; Frankfurt am Main,Hamburg; Hesse,,2024-04-29 00:00:00
1164,3c1d11b5-ac3c-489f-b317-010a1ebec5be,Taunus Projekt GmbH,User/Other,2,,Apartment,Niederhausen,Apartment,Hofheim am Taunus; Niederhausen,Hesse; Rhineland-Palatinate,,2018-04-12 00:00:00
1165,7b55780b-ff55-485b-ae0e-35335f302ccb,Semodu,Private,2,21541.4743752,Dev Site,Berlin; Schwerin,Dev Site,Wustermark; Berlin; Schwerin,Brandenburg; Berlin; Mecklenburg-West Pomerania,,2022-11-29 00:00:00
1166,d9fcccee-b5c5-4f8a-bad1-7ff5c8d74226,SIM Gruppe,Private,2,7599.81456,Apartment,Gera,Apartment; Office,"Gera; Hanau, Bruder-Grimm-Stadt",Thuringia; Hesse,,2023-10-06 00:00:00
1167,5dfd3048-8f16-476c-b6f5-ebd3c99cc365,Scarborough Property,Private,2,499983.63924185,Industrial; Office,,Industrial; Office,,,,2007-01-17 00:00:00
1168,0dbcac7b-b66b-423c-a6c1-addd1e67e5f2,Kauri Investments,Institutional,2,21999.4632,Industrial; Apartment,,Industrial; Apartment,,Berlin,,2011-08-18 00:00:00
1169,2a9701b1-57bc-4463-aa02-a38b2ea2b92d,Im-mobilis,Private,2,15099.63156,Apartment,,Apartment,,North Rhine-Westphalia,,2012-09-25 00:00:00
1170,5f18e313-0018-4aaf-b804-e25ea6790a21,DGI AG,Public,2,25999.3656,Apartment,,Apartment,,Lower Saxony,,2014-03-28 00:00:00
1171,65d9d852-e9cc-419a-bb89-c21002f5bf75,Van der Horst,Institutional,2,,Apartment,Stadtoldendorf,Apartment,Stadtoldendorf,Lower Saxony,,2013-08-29 00:00:00
1172,4c48b00f-c8f6-419c-a5d2-da2b723242e8,Reikal Projektinvest GmbH,Private,2,559981.6746496,Dev Site,Dummerstorf,Dev Site,Dummerstorf,Mecklenburg-West Pomerania,,2013-02-27 00:00:00
1173,4b67b6d5-448c-4222-98a8-ad9ed682f709,Dunios Immobilien,Private,2,7274.82249,Apartment,Clausthal-Zellerfeld,Apartment,Clausthal-Zellerfeld,Lower Saxony,,2017-09-12 00:00:00
1174,a4144088-7514-4f17-9393-a4170e573ca4,Giant,Institutional,2,796980.5532,Industrial,,Industrial,,,,2016-10-04 00:00:00
1175,a8655da2-383b-4f11-b0c6-16c35b1b55b9,WIDe Wertimmobilien,Institutional,2,20899.49004,Apartment,Chemnitz,Apartment,Chemnitz,Saxony,,2023-12-13 00:00:00
1176,240738f1-b3e2-45bb-b7c6-87ddbf1e0120,GGH AG,Private,2,6499.8414,Apartment,Leipzig; Rostock,Apartment,Leipzig; Rostock,Saxony; Mecklenburg-West Pomerania,,2018-08-15 00:00:00
1177,e2ff155a-f046-4876-aa90-3a767a9e48ef,Achmea Real Estate,Institutional,2,,Apartment,Kosching,Apartment,Kosching,Bavaria; Hesse,Syntrus Achmea,2021-03-04 00:00:00
1178,4c48b00f-c8f6-419c-a5d2-da2b723242e8,Vivest GmbH,Private,2,13699.66572,Apartment; Dev Site,Berlin; Brandenburg an der Havel,Apartment; Dev Site,Berlin; Brandenburg an der Havel,Berlin; Brandenburg,,2022-12-15 00:00:00
1179,4c48b00f-c8f6-419c-a5d2-da2b723242e8,wl 2 invest GmbH,Private,2,1999.9512,Apartment,Munich,Apartment,Munich,Bavaria,,2022-08-24 00:00:00
1180,4c48b00f-c8f6-419c-a5d2-da2b723242e8,Conversio Immobilienprojektentwicklungsgesellschaft mbH,Private,2,7399.81944,Apartment,Ratzeburg; Molln,Apartment,Ratzeburg; Molln,Schleswig-Holstein,,2021-06-08 00:00:00
