rank,Company ID,Investor,Capital Group,Current Holdings (objects),Holdings Area (m²),Main Holding Type,Main Holding Cities,Active Property Types,Active Cities,Active Regions,Entities / Vehicles Used,Last Activity
2081,4c48b00f-c8f6-419c-a5d2-da2b723242e8,Servus Hotels & Restaurants-Gruppe (SHR),Private,1,,Hotel,Bad Elster,Hotel,Bad Elster,Saxony,,2019-09-28 00:00:00
2082,e27ce0ab-e4d8-4aa2-b8d3-741c26f635e6,FeBa Fensterbau GmbH,User/Other,1,17999.5608,Dev Site,Burbach,Dev Site,Burbach,North Rhine-Westphalia,,2020-06-01 00:00:00
2083,e27ce0ab-e4d8-4aa2-b8d3-741c26f635e6,TEKO Gesellschaft fur Kaltetechnik mbH,User/Other,1,2949.92802,Industrial,Altenstadt,Industrial,Altenstadt,Hesse,,2019-10-02 00:00:00
2084,f0e6423d-1a5d-457d-8160-6e0ade4db760,Hirotani,Private,1,1475.9639856,Dev Site,Stuttgart,Hotel; Dev Site,Heidelberg; Hanover; Stuttgart,Baden-Wurttemberg; Lower Saxony,,2017-03-01 00:00:00
2085,4c48b00f-c8f6-419c-a5d2-da2b723242e8,Landloan Ltd,Private,1,1878.9541524,Retail,Menden (Sauerland),Retail,Menden (Sauerland),North Rhine-Westphalia,,2006-04-15 00:00:00
2086,4c48b00f-c8f6-419c-a5d2-da2b723242e8,HELIOS Liegenschaften GmbH,Private,1,4649.88654,Industrial,Frankfurt am Main,Industrial,Frankfurt am Main,Hesse,,2005-12-21 00:00:00
2087,4c48b00f-c8f6-419c-a5d2-da2b723242e8,WIT Shopping-Center Wetter GmbH,Private,1,8799.78528,Retail,Wetter (Ruhr),Retail,Wetter (Ruhr),North Rhine-Westphalia,,2010-06-01 00:00:00
2088,e27ce0ab-e4d8-4aa2-b8d3-741c26f635e6,Smidt Wohncenter GmbH,User/Other,1,19999.512,Dev Site,Leverkusen,Dev Site,Leverkusen,North Rhine-Westphalia,,2012-03-14 00:00:00
2089,e27ce0ab-e4d8-4aa2-b8d3-741c26f635e6,Trapezblech Gonschior oHG,User/Other,1,3429.916308,Industrial,Wiedemar,Industrial,Wiedemar,Saxony,,2014-02-24 00:00:00
2090,eaf4bf3d-c951-4ad1-b40f-9ac89e8e102a,Bad Kreuznacher Entwicklungsgesellschaft (BKEG),User/Other,1,24999.39,Dev Site,Bad Kreuznach,Apartment; Dev Site,Bad Kreuznach,Rhineland-Palatinate,,2013-06-28 00:00:00
2091,019d61f9-91b9-4515-87b3-e3fd041ef8a9,Prime Property Developers,Private,1,7225.8236856,Dev Site,Offenbach am Main,Dev Site,Offenbach am Main,Hesse,,2011-12-20 00:00:00
2092,e27ce0ab-e4d8-4aa2-b8d3-741c26f635e6,Hillbrand,User/Other,1,2499.939,Industrial,Mainz,Industrial,Mainz,Rhineland-Palatinate,,2018-09-27 00:00:00
2093,e27ce0ab-e4d8-4aa2-b8d3-741c26f635e6,Holzimport-Nord GmbH,User/Other,1,5999.8536,Office,Kaltenkirchen,Office,Kaltenkirchen,Schleswig-Holstein,,2022-01-20 00:00:00
2094,e27ce0ab-e4d8-4aa2-b8d3-741c26f635e6,Incoe International Inc,User/Other,1,9299.77308,Dev Site,Rodermark,Dev Site,Rodermark,Hesse,,2013-06-13 00:00:00
2095,4a26364a-3344-42fe-9551-7b6a3ab02017,City of Trittau,User/Other,1,59998.0365696,Dev Site,Trittau,Dev Site,Trittau,Schleswig-Holstein,,2013-10-22 00:00:00
2096,4c48b00f-c8f6-419c-a5d2-da2b723242e8,TMM Phoenix GmbH,Private,1,7399.81944,Dev Site,Dortmund,Dev Site,Dortmund,North Rhine-Westphalia,,2019-01-30 00:00:00
2097,e2afa290-83af-427e-b38b-57eb46add574,Daikin,User/Other,1,5999.8536,Dev Site,Dortmund,Dev Site,Dortmund,North Rhine-Westphalia,,2019-11-06 00:00:00
2098,cbef82a6-6b5e-4e5e-9d82-88341796c6b5,World of Walas,Private,1,55998.6336,Industrial,Dortmund,Industrial,Dortmund,North Rhine-Westphalia,,2018-08-24 00:00:00
2099,4c48b00f-c8f6-419c-a5d2-da2b723242e8,Mujdat Cakmakli,Private,1,4199.89752,Dev Site,Essen,Dev Site,Essen,North Rhine-Westphalia,,2011-01-21 00:00:00
2100,ea40c902-1e73-4266-a94a-2f001d77dc52,EWG,Private,1,6999.8292,Industrial,Essen,Dev Site; Industrial,Essen,North Rhine-Westphalia,,2014-02-27 00:00:00
