rank,Company ID,Investor,Capital Group,Current Holdings (objects),Holdings Area (m²),Main Holding Type,Main Holding Cities,Active Property Types,Active Cities,Active Regions,Entities / Vehicles Used,Last Activity
2041,4c48b00f-c8f6-419c-a5d2-da2b723242e8,DORMERO Hotel AG,Private,1,3499.9146,Hotel,Windhagen,Hotel,Windhagen,Rhineland-Palatinate,,2015-03-23 00:00:00
2042,4c48b00f-c8f6-419c-a5d2-da2b723242e8,Hans-Georg Brinkmeyer,Private,1,1899.95364,Hotel,Bad Zwischenahn,Hotel,Bad Zwischenahn,Lower Saxony,,2018-11-15 00:00:00
2043,1c4c38e6-d637-45cd-a14a-76afca45b074,Pensionskasse der Mitarbeiter der Hoechst-Gruppe VVaG,Institutional,1,,Seniors Housing & Care,Kriftel,Seniors Housing & Care,Kriftel,Hesse,,2013-03-31 00:00:00
2044,4c48b00f-c8f6-419c-a5d2-da2b723242e8,Laborgh Investment GmbH,Private,1,8249.7987,Dev Site,Berlin,Apartment; Dev Site,Berlin,Berlin,,2015-09-29 00:00:00
2045,4c48b00f-c8f6-419c-a5d2-da2b723242e8,HmcS Gruppe,Private,1,1755.9571536,Office,Hanover,Office,Hanover,Lower Saxony,,2013-09-02 00:00:00
2046,e27ce0ab-e4d8-4aa2-b8d3-741c26f635e6,Ferdinand Bilstein GmbH + Co. KG,User/Other,1,196995.1932,Dev Site,Gelsenkirchen,Dev Site,Gelsenkirchen,North Rhine-Westphalia,,2017-08-19 00:00:00
2047,4c48b00f-c8f6-419c-a5d2-da2b723242e8,AC Immobilien mbH,Private,1,4999.878,Dev Site,Aachen,Dev Site,Aachen,North Rhine-Westphalia,,2014-02-14 00:00:00
2048,ffb3c8dd-00d7-4add-ab5a-3397348ab8ab,Gold Inn,Private,1,,Hotel,Dresden,Hotel,Dresden,Saxony,,2009-05-15 00:00:00
2049,abad3be0-aaf7-42e8-ab87-a88e220b0684,Baugenossenschaft Sachsenwald eG,User/Other,1,,Apartment,Glinde,Apartment,Glinde,Schleswig-Holstein,,2019-12-01 00:00:00
2050,4c48b00f-c8f6-419c-a5d2-da2b723242e8,Party Rent,Private,1,16299.60228,Industrial,Berlin,Industrial,Berlin,Berlin,,2014-03-31 00:00:00
2051,4c48b00f-c8f6-419c-a5d2-da2b723242e8,"Miele & Cie, KG",Private,1,3929.904108,Office,Hamburg,Office,Hamburg,Hamburg,,2014-06-05 00:00:00
2052,4c48b00f-c8f6-419c-a5d2-da2b723242e8,Mashali Family,Private,1,,Hotel,Neu-Isenburg,Hotel,Neu-Isenburg,Hesse,,2011-12-02 00:00:00
2053,4c48b00f-c8f6-419c-a5d2-da2b723242e8,Bug GmbH & Co. KG,Private,1,2049932.916128,Dev Site,Dranske,Dev Site,Dranske,Mecklenburg-West Pomerania,,2021-05-20 00:00:00
2054,3e836804-e046-4ea4-a22c-57041128c60b,Elite Partners Capital,Institutional,1,120564.0581652,Industrial,Ettlingen,Industrial,Bindlach; Braunschweig; Ettlingen,Bavaria; Lower Saxony; Baden-Wurttemberg,,2024-06-01 00:00:00
2055,4c48b00f-c8f6-419c-a5d2-da2b723242e8,Munchner Immobiliengruppe,Private,1,1999.93455542466,Office,Berlin,Office,Berlin,Berlin,,2008-08-07 00:00:00
2056,e27ce0ab-e4d8-4aa2-b8d3-741c26f635e6,Riese & Muller,User/Other,1,134996.706,Dev Site,Riedstadt,Dev Site,Riedstadt,Hesse,,2022-04-20 00:00:00
2057,4c48b00f-c8f6-419c-a5d2-da2b723242e8,Unternehmensgruppe Wander,Private,1,6799.7226,Office,Planegg,Office,Planegg,Bavaria,,2007-11-30 00:00:00
2058,4c48b00f-c8f6-419c-a5d2-da2b723242e8,Pletschacher Projektentwicklung GmbH & Co.KG,Private,1,24999.39,Dev Site,Munich,Dev Site,Munich,Bavaria,,2013-03-26 00:00:00
2059,e27ce0ab-e4d8-4aa2-b8d3-741c26f635e6,barth Spedition,User/Other,1,29999.268,Dev Site,Cottbus,Dev Site,Cottbus,Brandenburg,,2015-09-25 00:00:00
2060,4c48b00f-c8f6-419c-a5d2-da2b723242e8,Prospectus Objektgesellschaft mbH,Private,1,1814.955714,Office,Bremerhaven,Office,Bremerhaven,Bremen,,2022-03-21 00:00:00
