rank,Company ID,Investor,Capital Group,Current Holdings (objects),Holdings Area (m²),Main Holding Type,Main Holding Cities,Active Property Types,Active Cities,Active Regions,Entities / Vehicles Used,Last Activity
4941,e27ce0ab-e4d8-4aa2-b8d3-741c26f635e6,Elementar Analysensysteme GmbH,User/Other,1,14999.634,Dev Site,Langenselbold,Dev Site,Langenselbold,Hesse,,2014-01-22 00:00:00
4942,4c48b00f-c8f6-419c-a5d2-da2b723242e8,CityGrund GmbH,Private,1,9489.768444,Apartment,,Apartment,,Bremen,,2013-12-31 00:00:00
4943,4c48b00f-c8f6-419c-a5d2-da2b723242e8,Blausee GmbH,Private,1,3499885.46656,Dev Site,Bitterfeld-Wolfen,Dev Site,Bitterfeld-Wolfen,Saxony-Anhalt,,2013-12-12 00:00:00
4944,4c48b00f-c8f6-419c-a5d2-da2b723242e8,Klaus Wallraff,Private,1,6999.8292,Industrial,Leverkusen,Industrial,Leverkusen,North Rhine-Westphalia,,2013-11-13 00:00:00
4945,4c48b00f-c8f6-419c-a5d2-da2b723242e8,KH Real Estate,Private,1,28899.29484,Dev Site,Troisdorf,Dev Site,Troisdorf,North Rhine-Westphalia,,2012-02-09 00:00:00
4946,65f5ddff-23f7-41c5-a812-8f3d9a894445,Medical Props Trust,Public,1,,Seniors Housing & Care,,Seniors Housing & Care,,,,2013-10-10 00:00:00
4947,3555db89-a3eb-45ce-a44c-2e7b2325c461,Hamburger Fondsgesellschaft,<unknown>,1,2099.94876,Apartment,Berlin,Apartment,Berlin,Berlin,,2012-02-01 00:00:00
4948,4d14f271-b847-4366-9766-f435a2a83c2e,KP Real Estate,Private,1,2599.93656,Retail,Bad Segeberg,Retail,Bad Segeberg,Schleswig-Holstein,,2013-08-08 00:00:00
4949,4c48b00f-c8f6-419c-a5d2-da2b723242e8,Hanseatic Wohnbaugesellschaft,Private,1,6799.83408,Apartment,,Apartment,,Lower Saxony,,2013-08-01 00:00:00
4950,4c48b00f-c8f6-419c-a5d2-da2b723242e8,Schillinger Beregnungsanlagen GmbH,Private,1,44998.902,Dev Site,Breisach am Rhein,Dev Site,Breisach am Rhein,Baden-Wurttemberg,,2013-07-16 00:00:00
4951,e27ce0ab-e4d8-4aa2-b8d3-741c26f635e6,Samvardhana Motherson Peguform (SMP),User/Other,1,69997.7093312,Dev Site,Schierling,Dev Site,Schierling,Bavaria,,2013-06-26 00:00:00
4952,de9b2c23-cab3-47c4-8bf0-e556fcce7c99,KFM Kreativbau,Private,1,2999.9268,Apartment,,Apartment,,Bavaria,,2013-05-22 00:00:00
4953,e27ce0ab-e4d8-4aa2-b8d3-741c26f635e6,Gilde-Beteiligungs AG (Zentrag),User/Other,1,2499.939,Industrial,Gross-Gerau,Industrial,Gross-Gerau,Hesse,,2013-04-29 00:00:00
4954,4c48b00f-c8f6-419c-a5d2-da2b723242e8,Sivaka Germany Properties Sarl,Private,1,,Apartment,Stadtoldendorf,Apartment,Stadtoldendorf,Lower Saxony,,2013-03-28 00:00:00
4955,e27ce0ab-e4d8-4aa2-b8d3-741c26f635e6,Diamant Software GmbH & Co. KG,User/Other,1,18499.5486,Dev Site,Bielefeld,Dev Site,Bielefeld,North Rhine-Westphalia,,2012-01-05 00:00:00
4956,463f6584-5aaa-4c8f-9d1c-72ac78c30c0d,7x7 Sachwerte West I,Institutional,1,,Retail,,Retail,,,,2013-01-21 00:00:00
4957,4c48b00f-c8f6-419c-a5d2-da2b723242e8,WBG Gluck Auf Gera e.G.,Private,1,,Apartment,Gera,Apartment,Gera,Thuringia,,2012-12-30 00:00:00
4958,2f1fa8e3-5fb4-4ce8-b734-da5de969b07b,Familienheim Rhein-Neckar e.G.,Private,1,,Apartment,,Apartment,,Baden-Wurttemberg,,2012-12-21 00:00:00
4959,4c48b00f-c8f6-419c-a5d2-da2b723242e8,Thomas Sabo GmbH & Co Schmuckhandel KG,Private,1,29999.268,Dev Site,Lauf an der Pegnitz,Dev Site,Lauf an der Pegnitz,Bavaria,,2012-12-12 00:00:00
4960,68c6fbaa-b09f-41f0-9043-fecb0db16f99,GT Medical Properties REIT,Public,1,17186.5,Office,,Office,,,,2012-11-16 00:00:00
