rank,Company ID,Investor,Capital Group,Current Holdings (objects),Holdings Area (m²),Main Holding Type,Main Holding Cities,Active Property Types,Active Cities,Active Regions,Entities / Vehicles Used,Last Activity
5041,4c48b00f-c8f6-419c-a5d2-da2b723242e8,Reconia Immobilienberatung GmbH,Private,1,3799.90728,Dev Site,Munich,Dev Site,Munich,Bavaria,,2020-12-14 00:00:00
5042,4c48b00f-c8f6-419c-a5d2-da2b723242e8,Axia Immobilien Group,Private,1,3499.9146,Dev Site,Hanover,Dev Site,Hanover,Lower Saxony,,2020-11-25 00:00:00
5043,4c48b00f-c8f6-419c-a5d2-da2b723242e8,ASCARD Capital Group,Private,1,,Retail,,Retail,,,,2020-10-30 00:00:00
5044,4c48b00f-c8f6-419c-a5d2-da2b723242e8,DUSAPRO Immobilien,Private,1,1699.95852,Apartment,,Apartment,,,,2020-10-09 00:00:00
5045,4c48b00f-c8f6-419c-a5d2-da2b723242e8,Gebruder Schweinle Immobilien GbR,Private,1,13999.6584,Industrial,Buchen (Odenwald),Industrial,Buchen (Odenwald),Baden-Wurttemberg,,2020-03-17 00:00:00
5046,4c48b00f-c8f6-419c-a5d2-da2b723242e8,Aspera Capital,Private,1,30792.2486508,Retail,,Retail,,,,2020-03-05 00:00:00
5047,4c48b00f-c8f6-419c-a5d2-da2b723242e8,B. u. I. Immobilienverwaltung,Private,1,2299.94388,Apartment,Mannheim,Apartment,Mannheim,Baden-Wurttemberg,,2020-02-14 00:00:00
5048,4c48b00f-c8f6-419c-a5d2-da2b723242e8,MWCM Holding,Private,1,799.98048,Retail,Pinneberg,Retail,Pinneberg,Schleswig-Holstein,,2019-10-23 00:00:00
5049,b3cac3a4-aa30-4eb4-8797-257e3db3da80,Cristal Life #SCPI Inter gestion,Private,1,35928.1233324,Retail,,Retail,,,,2022-12-30 00:00:00
5050,665f1dbb-720c-4434-bdfe-8ff55bbe33f7,InterGestion,Institutional,1,35928.1233324,Retail,,Retail,,,,2022-12-30 00:00:00
5051,4c48b00f-c8f6-419c-a5d2-da2b723242e8,Georg Glatzel Grundbesitz,Private,1,23431.4282592,Industrial,Gaiberg,Industrial,Gaiberg,Baden-Wurttemberg,,2022-12-22 00:00:00
5052,d7faf294-0b67-40bf-bf14-66ecb0affed3,Safestore,Public,1,29999.268,Self Storage,,Self Storage,,,,2022-12-02 00:00:00
5053,47c92d56-0971-4add-a0ea-7e0576e5f52e,GMA Essentialis,Institutional,1,13499.6706,Retail,,Retail,,,,2022-11-29 00:00:00
5054,4377dd2a-a533-48c5-a369-2464d929d369,Greenman Arth,Institutional,1,13499.6706,Retail,,Retail,,,,2022-11-29 00:00:00
5055,4c48b00f-c8f6-419c-a5d2-da2b723242e8,Mannheimer Bodenfonds,Private,1,1999.9512,Dev Site,Mannheim,Dev Site,Mannheim,Baden-Wurttemberg,,2022-11-24 00:00:00
5056,e27ce0ab-e4d8-4aa2-b8d3-741c26f635e6,TeamSport E-Karting,User/Other,1,4999.878,Other General,Bergkirchen,Other General,Bergkirchen,Bavaria,,2022-11-10 00:00:00
5057,4c48b00f-c8f6-419c-a5d2-da2b723242e8,GVZ-Entwicklungsmaßnahmen GmbH,Private,1,84997.926,Dev Site,Augsburg,Dev Site,Augsburg,Bavaria,,2022-10-17 00:00:00
5058,4c48b00f-c8f6-419c-a5d2-da2b723242e8,Haas Unternehmensgruppe,Private,1,48748.8105,Apartment,Thale,Apartment,Thale,Saxony-Anhalt,,2022-10-01 00:00:00
5059,4c48b00f-c8f6-419c-a5d2-da2b723242e8,Actum Real Estate Investment GmbH,Private,1,13999.6584,Industrial,Frankfurt am Main,Industrial,Frankfurt am Main,Hesse,,2022-09-27 00:00:00
5060,4c48b00f-c8f6-419c-a5d2-da2b723242e8,Alpine Immobilien GmbH,Private,1,149995.091424,Dev Site,Schonefeld,Dev Site,Schonefeld,Brandenburg,,2022-08-16 00:00:00
