rank,Company ID,Investor,Capital Group,Current Holdings (objects),Holdings Area (m²),Main Holding Type,Main Holding Cities,Active Property Types,Active Cities,Active Regions,Entities / Vehicles Used,Last Activity
361,f004cdd8-93d7-4d44-8f68-ebd89cfba603,Hellweg,User/Other,5,32499.207,Retail,Krefeld; Castrop-Rauxel; Schwerte an der Ruhr,Retail,Bochum; Berlin; Krefeld,North Rhine-Westphalia; Brandenburg; Bavaria,,2020-02-13 00:00:00
362,a46a483b-2836-47dc-926d-17c143c704a2,City of Hanover,User/Other,5,122996.9988,Apartment; Dev Site,Hanover,Dev Site; Apartment; Other General,Hanover; Langenhagen,Lower Saxony,Flughafen Hannover (HAJ); hanova Wohnen,2023-11-06 00:00:00
363,bc76d124-778c-49c8-ad55-e7536c1b53ac,City of Freiburg,User/Other,5,374134.8708864,Dev Site; Apartment,Freiburg im Breisgau,Dev Site; Apartment,Freiburg im Breisgau,Baden-Wurttemberg,,2023-12-01 00:00:00
364,ce0b2b55-86f1-4079-94d3-ea4a2c0c67dd,Stadtsparkasse Munchen,Institutional,5,22649.44734,Office; Condo,Munich,Office; Condo,Munich,Bavaria,,2020-11-27 00:00:00
365,81d149ab-7a7b-4d6e-afa0-e3670e53840d,Catalina Holdings LLC,Private,5,53611.6918428,Industrial,Duisburg; Landsberg; Weissenhorn,Industrial,Cologne; Duisburg; Landsberg,North Rhine-Westphalia; Saxony-Anhalt; Bavaria,,2020-12-31 00:00:00
366,2a3e4ecc-c44d-4396-8de3-9d3087da13e0,Rynda,Institutional,5,18366.44559455333,Office; Retail,Munich; Puchheim; Offenburg,Office; Retail,Berlin; Munich; Puchheim,Baden-Wurttemberg; Bavaria; Berlin,,2014-07-08 00:00:00
367,8cf298de-b85d-411b-8b38-0a8187363f03,SWSG,User/Other,5,13039.681824,Apartment; Dev Site,Stuttgart; Stuttgart Städte,Apartment; Dev Site,Stuttgart; Stuttgart Städte,Baden-Wurttemberg,,2021-05-11 00:00:00
368,59d6d03a-d3ad-42eb-8d7f-ff86aa7eb1b7,BMW Group,User/Other,5,1477612.9464792,Dev Site; Industrial,Munich; Leipzig; Strasskirchen,Dev Site; Industrial; Office,Munich; Berlin; Leipzig,Bavaria; Berlin; Saxony,,2023-05-28 00:00:00
369,ff0ff54f-9c39-4d26-bec4-7fa6147ade36,Dolphin Capital GmbH,Institutional,5,896074.1352576,Dev Site; Apartment,"Mainz; Flensburg; Hanau, Bruder-Grimm-Stadt",Dev Site; Apartment,Rinteln; Mainz; Panketal,Lower Saxony; Rhineland-Palatinate; Brandenburg,,2024-05-20 00:00:00
370,7974af29-2a34-48ad-976a-d367d2fb1f21,Landesbank Sachsen,Institutional,5,70346.16890506221,Retail; Office,Bremen; Boblingen; Munich,Office; Retail; Apartment,Oberhausen; Bremen; Boblingen,North Rhine-Westphalia; Bavaria; Bremen,Sachsenfonds,2016-11-30 00:00:00
371,55c2b9bf-554e-4eb1-9ef0-dc9ad9e1a73d,Primus Concept,Private,5,9699.76332,Seniors Housing & Care; Dev Site,Solingen; Bindlach; Hinterweidenthal,Seniors Housing & Care; Dev Site,Leonberg; Solingen; Bindlach,Baden-Wurttemberg; Bavaria; North Rhine-Westphalia,,2023-06-13 00:00:00
372,bca0fd7f-322b-4278-8189-a69a2f37ad77,City of Furth,User/Other,5,352989.3868488,Dev Site; Office,Furth; Zirndorf,Dev Site; Office,Furth; Zirndorf,Bavaria,,2024-07-01 00:00:00
373,9c48cc29-5d5f-4eb6-8808-3dde7577d17f,Azora,Institutional,5,,Hotel; Seniors Housing & Care,Berlin; Binz; Koserow,Hotel; Seniors Housing & Care,Cologne; Berlin; Binz,Mecklenburg-West Pomerania; North Rhine-Westphalia; Berlin,Losan Hotels World,2022-12-22 00:00:00
374,64721358-8d5a-49fe-b9fd-a1d6a94730ff,Kristensen Invest GmbH,Private,5,9259.774056,Retail,Delmenhorst; Oldenburg (Oldenburg); Eschwege,Retail; Apartment,Delmenhorst; Wunstorf; Monchengladbach,Lower Saxony; Berlin; North Rhine-Westphalia,,2022-03-17 00:00:00
375,eff21cd5-f8bc-4991-8d17-bd0214a8c0ba,CyrusOne,Private,5,135851.685138,Data Center; Dev Site,Frankfurt am Main,Data Center; Dev Site; Office,Frankfurt am Main,Hesse,,2023-09-01 00:00:00
376,4c48b00f-c8f6-419c-a5d2-da2b723242e8,Real Estate Portfolio Consulting AG,Private,5,51992.7313464,Retail,Solingen; Koblenz; Euskirchen,Retail,Dresden; Solingen; Koblenz,North Rhine-Westphalia; Saxony; Rhineland-Palatinate,,2023-09-28 00:00:00
377,36a167f1-9381-4ed2-a4ff-16f930782da6,Alchemy Partners,Institutional,5,29325.2844456,Hotel,Cologne; Dortmund; Barleben,Hotel,Cologne; Dortmund; Barleben,North Rhine-Westphalia; Saxony-Anhalt; Mecklenburg-West Pomerania,,2023-09-29 00:00:00
378,edac1c33-a8c5-4a1d-9665-64e007e77215,Rossberg & Raudies,Private,5,24137.4110328,Apartment; Office,Hamburg; Flensburg; Bergen an der Dumme,Apartment; Office; Hotel,Hamburg; Bergen an der Dumme; Flensburg,Hamburg; Lower Saxony; Schleswig-Holstein,,2020-12-31 00:00:00
379,91371607-5e70-4c1f-99e3-96a17abf782c,E.ON Pension Trust,Institutional,5,231930.3407616,Office,Berlin; Hamburg; Dusseldorf,Office; Dev Site; Apartment,Gelsenkirchen; Munich; Essen,North Rhine-Westphalia; Bavaria; Lower Saxony,,2020-08-05 00:00:00
380,caa87a0a-54ae-4ac1-96de-d39f32b1117c,Oswa Planen und Bauen,Private,5,71536.2544728,Dev Site; Office,Singen (Hohentwiel); Stuttgart,Dev Site; Office; Apartment,Singen (Hohentwiel); Stuttgart,Baden-Wurttemberg,,2016-08-03 00:00:00
