rank,Company ID,Investor,Capital Group,Current Holdings (objects),Holdings Area (m²),Main Holding Type,Main Holding Cities,Active Property Types,Active Cities,Active Regions,Entities / Vehicles Used,Last Activity
3921,9acce215-0cc5-45a3-b609-1d7fa4ddea4c,Gips-Schule Stiftung,Private,1,2999.9268,Office,Stuttgart,Office,Stuttgart,Baden-Wurttemberg,,2013-06-30 00:00:00
3922,bbb88347-57c2-45d3-939b-2f691d3ffe27,Merckle Group,User/Other,1,47579.8390236,Office,Ulm,Office,Ulm,Baden-Wurttemberg,,2023-04-20 00:00:00
3923,71f63340-f80a-4e3d-a12c-90534e9ef668,Falcon Real Estate,Institutional,1,11669.715252,Office,Frankfurt am Main,Apartment; Office,Frankfurt am Main,Hesse,,2019-05-07 00:00:00
3924,eaf4bf3d-c951-4ad1-b40f-9ac89e8e102a,Marktgemeinde Garmisch-Partenkirchen,User/Other,1,27999.3168,Dev Site,Garmisch-Partenkirchen,Dev Site,Garmisch-Partenkirchen,Bavaria,,2013-09-10 00:00:00
3925,e27ce0ab-e4d8-4aa2-b8d3-741c26f635e6,United Robotics Group,User/Other,1,19999.512,Dev Site,Bochum,Dev Site,Bochum,North Rhine-Westphalia,,2022-05-03 00:00:00
3926,e27ce0ab-e4d8-4aa2-b8d3-741c26f635e6,CRS Pruftechnik GmbH,User/Other,1,11590.7171796,Industrial,Konstanz,Industrial,Konstanz,Baden-Wurttemberg,,2023-08-08 00:00:00
3927,e27ce0ab-e4d8-4aa2-b8d3-741c26f635e6,Konstanzer Yacht Club,User/Other,1,11590.7171796,Industrial,Konstanz,Industrial,Konstanz,Baden-Wurttemberg,,2023-08-08 00:00:00
3928,4c48b00f-c8f6-419c-a5d2-da2b723242e8,Beshiri Gastro GmbH,Private,1,11590.7171796,Industrial,Konstanz,Industrial,Konstanz,Baden-Wurttemberg,,2023-08-08 00:00:00
3929,9ba420e9-c850-4401-9caa-8ffc771e62c6,Capital Land Holdings,Institutional,1,3699.90972,Dev Site,Frankfurt am Main,Dev Site,Frankfurt am Main,Hesse,,2024-03-28 00:00:00
3930,e27ce0ab-e4d8-4aa2-b8d3-741c26f635e6,Druckerei Jos. Hillekamp GmbH,User/Other,1,4599.88776,Industrial,Monchengladbach,Industrial,Monchengladbach,North Rhine-Westphalia,,2016-06-02 00:00:00
3931,eaf4bf3d-c951-4ad1-b40f-9ac89e8e102a,Bündnis 90 / Die Grünen,User/Other,1,3199.92192,Apartment,Berlin,Apartment,Berlin,Berlin,,2004-12-01 00:00:00
3932,e27ce0ab-e4d8-4aa2-b8d3-741c26f635e6,Biotronic,User/Other,1,,Office,Berlin,Office,Berlin,Berlin,,2012-09-01 00:00:00
3933,4c48b00f-c8f6-419c-a5d2-da2b723242e8,Brenog Berlin GmbH,Private,1,649.98414,Retail,Berlin,Retail,Berlin,Berlin,,2015-02-15 00:00:00
3934,463f6584-5aaa-4c8f-9d1c-72ac78c30c0d,deutsche Pensionskasse,Institutional,1,11399.72184,Industrial,Grossbeeren,Industrial,Grossbeeren,Brandenburg,,2012-07-01 00:00:00
3935,bd5657ae-402e-4677-a035-dc18a547bcae,DRK-­Zukunfts-Stiftung Nurtingen-Kirchheim,User/Other,1,,Seniors Housing & Care,Kirchheim unter Teck,Seniors Housing & Care,Kirchheim unter Teck,Baden-Wurttemberg,,2014-02-03 00:00:00
3936,4c48b00f-c8f6-419c-a5d2-da2b723242e8,Goebels Family,Private,1,1999.9512,Office,Monchengladbach,Office,Monchengladbach,North Rhine-Westphalia,,2016-03-01 00:00:00
3937,e27ce0ab-e4d8-4aa2-b8d3-741c26f635e6,Friedrich W Schneider GmbH,User/Other,1,1899.95364,Industrial,Cologne,Industrial,Cologne,North Rhine-Westphalia,,2010-08-19 00:00:00
3938,4c48b00f-c8f6-419c-a5d2-da2b723242e8,Quissenz GmbH,Private,1,1999.9512,Dev Site,Frankfurt am Main,Dev Site; Hotel,Frankfurt am Main,Hesse,,2018-09-15 00:00:00
3939,e27ce0ab-e4d8-4aa2-b8d3-741c26f635e6,Gebr. Rochling KG,User/Other,1,16499.5974,Industrial,Wackersdorf,Industrial,Wackersdorf,Bavaria,,2012-05-07 00:00:00
3940,4c48b00f-c8f6-419c-a5d2-da2b723242e8,BIRGROUP Holding GmbH & Co. KG,Private,1,14999.634,Dev Site,Lubeck,Dev Site,Lubeck,Schleswig-Holstein,,2017-01-18 00:00:00
