rank,Company ID,Investor,Capital Group,Current Holdings (objects),Holdings Area (m²),Main Holding Type,Main Holding Cities,Active Property Types,Active Cities,Active Regions,Entities / Vehicles Used,Last Activity
4401,e27ce0ab-e4d8-4aa2-b8d3-741c26f635e6,Robatherm,User/Other,1,95996.85851136,Dev Site,Jettingen-Scheppach,Dev Site,Jettingen-Scheppach,Bavaria,,2009-08-15 00:00:00
4402,e27ce0ab-e4d8-4aa2-b8d3-741c26f635e6,Alternate GmbH,User/Other,1,23999.4144,Dev Site,Linden,Dev Site,Linden,Hesse,,2019-03-19 00:00:00
4403,e27ce0ab-e4d8-4aa2-b8d3-741c26f635e6,Schenk Consulting,User/Other,1,29999.268,Dev Site,Markranstadt,Dev Site,Markranstadt,Saxony,,2016-09-05 00:00:00
4404,4c48b00f-c8f6-419c-a5d2-da2b723242e8,Projekt Maybach Beteiligungs GmbH,Private,1,10699.73892,Dev Site,Stuttgart,Dev Site,Stuttgart,Baden-Wurttemberg,,2014-02-28 00:00:00
4405,4c48b00f-c8f6-419c-a5d2-da2b723242e8,Goldwert Gruppe,Private,1,2649.93534,Dev Site,Hamburg,Dev Site,Hamburg,Hamburg,,2011-06-20 00:00:00
4406,9acce215-0cc5-45a3-b609-1d7fa4ddea4c,Karl-Schlecht-Stiftung,Private,1,5559.864336,Office,Stuttgart,Office,Stuttgart,Baden-Wurttemberg,,2015-03-31 00:00:00
4407,4c48b00f-c8f6-419c-a5d2-da2b723242e8,Andrea Bezold,Private,1,1999.9512,Industrial,Nuremberg,Industrial,Nuremberg,Bavaria,,2012-06-15 00:00:00
4408,1e818f70-68b6-4a80-84a5-df2b4c9146ea,Bonafide Immobilien GmbH,Private,1,11507.7192048,Dev Site,Bornheim,Dev Site,Bornheim,North Rhine-Westphalia,,2018-08-01 00:00:00
4409,b0cf4376-2d32-4a90-bea7-f2e7c56558d6,Iconiq Capital,Institutional,1,35799.12648,Industrial,Liederbach am Taunus,Industrial,Liederbach am Taunus,Hesse,IPI Data Center Partners,2022-10-11 00:00:00
4410,72c7b6df-52ed-44a2-930e-4eb541b42a49,Stack Infrastructure,Private,1,35799.12648,Industrial,Liederbach am Taunus,Industrial,Liederbach am Taunus,Hesse,,2022-10-11 00:00:00
4411,f7660112-6f4f-4a90-a6b6-3f991a1452d5,Iron Point Partners,Institutional,1,35799.12648,Industrial,Liederbach am Taunus,Industrial,Liederbach am Taunus,Hesse,,2022-10-11 00:00:00
4412,4c48b00f-c8f6-419c-a5d2-da2b723242e8,Isar Real Beteiligungs GmbH,Private,1,,Apartment,Kerpen,Apartment,Kerpen,North Rhine-Westphalia,,2013-07-19 00:00:00
4413,4c48b00f-c8f6-419c-a5d2-da2b723242e8,Huseyin Aydogan,Private,1,6499.8414,Office,Baden-Baden,Office,Baden-Baden,Baden-Wurttemberg,,2014-05-13 00:00:00
4414,e27ce0ab-e4d8-4aa2-b8d3-741c26f635e6,Biolink,User/Other,1,24999.39,Dev Site,Bad Tolz,Dev Site,Bad Tolz,Bavaria,,2015-08-15 00:00:00
4415,6bc978a5-c447-4100-bf96-3d16bd2b1a5e,Vestas Wind Systems,User/Other,1,64998.414,Dev Site,Lubeck,Dev Site,Lubeck,Schleswig-Holstein,,2010-10-14 00:00:00
4416,521c6efe-d72d-45a4-8556-7073c2ed1f34,Landessparkasse zu Oldenburg,Institutional,1,3629.911428,Dev Site,Cloppenburg,Dev Site,Cloppenburg,Lower Saxony,,2018-03-15 00:00:00
4417,4c48b00f-c8f6-419c-a5d2-da2b723242e8,Aldex Group GmbH,Private,1,5099.87556,Dev Site,Ratingen,Dev Site,Ratingen,North Rhine-Westphalia,,2021-04-30 00:00:00
4418,4c48b00f-c8f6-419c-a5d2-da2b723242e8,Architekturburo Klaus Kathan,Private,1,21999.4632,Dev Site,Friedrichshafen,Dev Site,Friedrichshafen,Baden-Wurttemberg,,2013-11-14 00:00:00
4419,4c48b00f-c8f6-419c-a5d2-da2b723242e8,Optimal-Wohnbau,Private,1,21999.4632,Dev Site,Friedrichshafen,Dev Site,Friedrichshafen,Baden-Wurttemberg,,2013-11-14 00:00:00
4420,bd5657ae-402e-4677-a035-dc18a547bcae,Zeppelin Wohlfahrt GmbH,User/Other,1,21999.4632,Dev Site,Friedrichshafen,Dev Site,Friedrichshafen,Baden-Wurttemberg,,2013-11-14 00:00:00
