rank,Company ID,Investor,Capital Group,Current Holdings (objects),Holdings Area (m²),Main Holding Type,Main Holding Cities,Active Property Types,Active Cities,Active Regions,Entities / Vehicles Used,Last Activity
961,916c3dfd-4f6d-4848-9e58-3af039d323f4,Aquila Real GmbH,Private,2,14199.65352,Industrial,Haan; Berlin,Industrial,Haan; Berlin,North Rhine-Westphalia; Berlin,,2023-12-31 00:00:00
962,eaec89f4-a785-447d-ad8f-3beae31bdffa,City of Sindelfingen,User/Other,2,8299.797480000001,Hotel; Dev Site,Sindelfingen,Hotel; Dev Site,Sindelfingen,Baden-Wurttemberg,,2023-07-20 00:00:00
963,38fe324b-d20d-47a8-afe1-10cfa6f72e57,Wago,User/Other,2,139995.5851392,Industrial; Dev Site,Minden; Garbsen,Industrial; Dev Site,Minden; Garbsen,North Rhine-Westphalia; Lower Saxony,,2023-02-21 00:00:00
964,9b529160-fab9-42b8-beb8-80e44724158b,Thermo Sensor GmbH,User/Other,2,79998.048,Dev Site,Werne,Dev Site; Industrial,Werne; Bonen,North Rhine-Westphalia,,2017-11-09 00:00:00
965,996bfd0e-04dc-4b4f-a653-8584498e77cc,NorCap A/S,Private,2,7828.728974352,Apartment; Office,Dresden,Apartment; Office,Dresden,Saxony,,2008-05-15 00:00:00
966,999fe7d4-c4b5-4974-b2b7-5dab0410a312,Herner Gesellschaft fur Wohnungsbau,Private,2,27999.3168,Dev Site; Office,Herne,Dev Site; Office,Herne,North Rhine-Westphalia,,2017-01-18 00:00:00
967,d3c3d6b2-8e84-44d4-a7e7-2f050f827277,Kleespies GmbH,Private,2,14999.53411392,Dev Site,"Hattersheim am Main; Hanau, Bruder-Grimm-Stadt",Apartment; Dev Site,"Hanau; Hattersheim am Main; Hanau, Bruder-Grimm-Stadt",Hesse,,2021-08-31 00:00:00
968,aedd7d76-f88d-4ee3-bd1a-7b9edb981038,JCH Projekt GmbH,Private,2,3441.9160152,Office; Retail,Berlin,Office; Retail,Berlin,Berlin,,2016-11-09 00:00:00
969,9e0724e0-0cc7-43b0-bb4e-97f7021b4c09,Scherbaum Real Estate,Private,2,13449.67182,Dev Site,Munich; Wolfratshausen,Office; Dev Site; Retail,Munich; Erding; Wolfratshausen,Bavaria; Baden-Wurttemberg,,2019-06-30 00:00:00
970,99e43806-936a-4156-9439-4cb70e66628e,FC REAL estate,Private,2,44755.9079292,Other General; Dev Site,Essen,Other General; Dev Site,Essen,North Rhine-Westphalia,,2022-04-11 00:00:00
971,e27ce0ab-e4d8-4aa2-b8d3-741c26f635e6,Brillux GmbH & Co. KG,User/Other,2,11001.7315512,Retail; Dev Site,Munster; Aachen,Retail; Dev Site,Munster; Aachen,North Rhine-Westphalia,,2016-09-20 00:00:00
972,b76ed47c-ca5c-4514-a786-c5216b96f4b7,VSW Rechtsanwalte Nordrhein-Westfalen,Institutional,2,19599.52176,Office; Apartment,Hamburg; Berlin,Office; Apartment,Hamburg; Berlin,Hamburg; Berlin,,2012-05-07 00:00:00
973,9dd93944-716b-48d6-8fd0-851123336ff4,Nord-Immo Management,Institutional,2,11279.724768,Office,Hamburg,Office,Hamburg,Hamburg,,2013-03-01 00:00:00
974,b5dcf351-9345-499c-a7a2-cdaeb6f92d60,WHB,Private,2,7684.812486000001,Apartment; Dev Site,Hamburg,Apartment; Dev Site,Hamburg,Hamburg,,2011-02-01 00:00:00
975,c8b47389-03e7-498b-8d94-545fbf4f0871,Caspar & Dr Demuth,Private,2,14499.6462,Office; Industrial,Leinfelden-Echterdingen; Esslingen am Neckar,Office; Industrial,Leinfelden-Echterdingen; Esslingen am Neckar,Baden-Wurttemberg,,2017-09-12 00:00:00
976,db4e5263-7d9a-4291-a47f-f82945be983c,Hyundai AM,Institutional,2,66412.3794984,Office; Industrial,Cologne; Munich,Office; Industrial,Cologne; Munich,North Rhine-Westphalia; Bavaria,,2019-04-15 00:00:00
977,2f36f096-8cc0-4943-b5fd-eb8581fe2e9f,Carl Zeiss AG,User/Other,2,74197.1895444,Dev Site; Office,Wetzlar; Dresden,Dev Site; Office,Wetzlar; Dresden,Hesse; Saxony,,2022-11-30 00:00:00
978,decc70f3-b0f8-40e4-861e-4107b2db775a,Immogate AG,Private,2,904970.3849248,Dev Site,Kelsterbach; Neuss,Dev Site,Kelsterbach; Neuss,Hesse; North Rhine-Westphalia,,2017-04-11 00:00:00
979,14424576-eaec-4a50-86e8-8844d4d4ff54,ArteCare,Private,2,9277.773616800001,Seniors Housing & Care,Goslar; Velbert,Seniors Housing & Care,Goslar; Velbert,Lower Saxony; North Rhine-Westphalia,,2023-04-01 00:00:00
980,fa02f5f5-e8bf-4997-b40b-e982a37a5e6c,Noerpel-Gruppe,User/Other,2,46498.51579872,Dev Site; Industrial,Villingen-Schwenningen; Otigheim,Dev Site; Industrial,Villingen-Schwenningen; Otigheim,Baden-Wurttemberg,,2023-11-23 00:00:00
