rank,Company ID,Investor,Capital Group,Current Holdings (objects),Holdings Area (m²),Main Holding Type,Main Holding Cities,Active Property Types,Active Cities,Active Regions,Entities / Vehicles Used,Last Activity
1181,7c0d7870-a403-43e6-bf05-87070910eda6,WCM,Public,1,13659.666696,Retail,,Retail; Office; Industrial,Neu-Isenburg; Dresden; Frankfurt am Main,Saxony-Anhalt; Lower Saxony; Hesse,,2017-10-04 00:00:00
1182,8aa1724b-9ab9-457c-9849-01d05e400c2b,Hudson's Bay Company,User/Other,1,15259.627656,Retail,,Retail,Dusseldorf; Stuttgart; Wiesbaden,North Rhine-Westphalia; Baden-Wurttemberg; Bavaria,,2019-10-01 00:00:00
1183,0025d2a3-6928-45fe-be89-f90083ca7a90,Consus Real Estate,Public,1,23999.4144,Office,Berlin,Office; Dev Site; Apartment,Hamburg; Cologne; Leipzig,North Rhine-Westphalia; Baden-Wurttemberg; Hesse,,2020-07-06 00:00:00
1184,00ddd3cc-92fe-4e18-9121-cdb2504b4541,Gramercy Property Trust,Public,1,20537.4988728,Industrial,Solingen,Industrial; Retail,Graben; Potsdam; Fredersdorf-Vogelsdorf,North Rhine-Westphalia; Bavaria; Brandenburg,,2018-06-14 00:00:00
1185,9126e7f7-819c-4933-a053-442d33fcbfea,Ebertz & Partner,Private,1,30645.2522376,Office,Munich,Hotel; Retail; Office,Berlin; Bonn; Cologne,North Rhine-Westphalia; Bavaria; Baden-Wurttemberg,Dr Ebertz & Partner OHG,2017-09-30 00:00:00
1186,ab72cc89-1aa1-422d-be92-2b806cdff387,Westbridge Hospitality,Private,1,,Hotel,Hamburg,Hotel,Hamburg; Troisdorf; Frankfurt am Main,North Rhine-Westphalia; Hamburg; Hesse,,2007-12-18 00:00:00
1187,dd3d6eeb-ac1d-48f7-aac9-f07ccccf5cbe,Janus Henderson Group Plc,Institutional,1,36402.1117668,Industrial,Peine,Retail; Industrial; Office,"Hanau, Bruder-Grimm-Stadt; Wustermark; Wachtberg",Hesse; Brandenburg; North Rhine-Westphalia,Henderson Global,2014-11-06 00:00:00
1188,90893854-247c-4bc5-8caa-1470e3bb8a27,MFI AG,Private,1,9948.7572444,Retail,Monchengladbach,Retail; Dev Site; Office,Leipzig; Munich; Gera,North Rhine-Westphalia; Bavaria; Saxony,,2014-07-24 00:00:00
1189,8e72c161-a29d-4e65-a310-dbfe419011f4,IDB Group,Public,1,71997.643995,Office,Cologne,Office,Mainz; Bergisch Gladbach; Munich,North Rhine-Westphalia; Rhineland-Palatinate; Bavaria,PBC Group,2017-11-15 00:00:00
1190,7c3fce42-202d-42f5-a552-052233920f07,Poco Einrichtungsmarkte GmbH,User/Other,1,7899.80724,Dev Site,Hagen,Retail; Dev Site,Zwickau; Ludinghausen; Bremerhaven,North Rhine-Westphalia; Lower Saxony; Saxony,,2018-07-05 00:00:00
1191,f1e105b2-df0b-4e46-b5c7-1183af5568ac,HFS Immobilien,Institutional,1,,Hotel,Jena,Retail; Office; Industrial,Essen; Berlin; Eschborn,North Rhine-Westphalia; Baden-Wurttemberg; Hesse,,2018-07-09 00:00:00
1192,811b4f26-8a97-4c8d-84a8-44232e8e1ff7,AFI Group,Public,1,69426.3059568,Retail,,Retail; Hotel; Industrial,Berlin; Bielefeld; Frechen,Berlin; North Rhine-Westphalia; Rhineland-Palatinate,Africa Israel Hotels; Africa-Israel Europe,2018-08-20 00:00:00
1193,83105144-492d-43d1-a602-3aee9fc5fe6c,Sparinvest,Institutional,1,49953.781098,Office,,Office; Retail,Mannheim; Cologne; Ulm,Baden-Wurttemberg; North Rhine-Westphalia; Hamburg,,2017-04-04 00:00:00
1194,1a360a81-22e5-4e8d-b714-cfc227183b4f,TIAA-CREF,Institutional,1,15099.63156,Office,Munich,Retail; Office; Industrial,Munich; Hamburg; Berlin,Bavaria; Hamburg; Schleswig-Holstein,,2015-09-16 00:00:00
1195,3b2b120c-c0e5-43fb-8923-05f84a592880,Accom,Private,1,7499.817,Office,Stuttgart,Office; Retail; Apartment,Hanover; Nuremberg; Stuttgart,Bavaria; Lower Saxony; Baden-Wurttemberg,,2021-04-29 00:00:00
1196,7ae85c02-78ba-4db2-b750-d57ab904ea38,Schultheiss Projektentwicklung,Private,1,6999.8292,Dev Site,Erlangen,Apartment; Dev Site,Nuremberg; Erlangen; Stein,Bavaria,,2023-12-27 00:00:00
1197,2d49e372-b4f3-4aaf-8c1d-f0422c8375c0,Mayne Developments Ltd,Private,1,25659.373896,Retail,Chemnitz,Retail; Office,Freiburg im Breisgau; Hanover; Hamburg,Saxony; Baden-Wurttemberg; Lower Saxony,,2023-12-13 00:00:00
1198,32d8fb89-b334-4250-93cd-4c6529edef9b,Icredpartner Sarl & Saphir SECS,Institutional,1,,Office,,Industrial; Office,Frechen; Cologne; Neuss,North Rhine-Westphalia; Thuringia,,2014-10-01 00:00:00
1199,0c7d1fb6-e70b-469f-97db-05accb78c4a9,UMW Groep,Institutional,1,829.972840501235,Retail,Amberg,Retail,Kleve; Braunschweig; Celle,North Rhine-Westphalia; Lower Saxony; Bavaria,,2017-08-20 00:00:00
1200,313365cb-c83c-44ae-84f6-71ecf76bf982,Global Switch,Private,1,11859.710616,Data Center,Frankfurt am Main,Data Center,Frankfurt am Main,Hesse,,2019-08-27 00:00:00
