rank,Company ID,Investor,Capital Group,Current Holdings (objects),Holdings Area (m²),Main Holding Type,Main Holding Cities,Active Property Types,Active Cities,Active Regions,Entities / Vehicles Used,Last Activity
381,2c77ece1-7697-4171-a5c4-778ed52fd570,Engel & Volkers,Private,5,8912.7825228,Apartment; Dev Site,Dusseldorf; Cologne; Hamburg,Apartment; Dev Site,Hamburg; Dusseldorf; Cologne,Hamburg; North Rhine-Westphalia,Engel & Volkers Capital; Engel & Volkers Development,2015-07-10 00:00:00
382,f120f6a8-360a-4912-9a1f-abf20b7c19e4,Bade Holding GmbH,Private,5,76892.9780948,Retail; Dev Site,Bochum; Rendsburg; Bonn,Retail; Dev Site,Bochum; Rendsburg; Bonn,North Rhine-Westphalia; Bremen; Schleswig-Holstein,,2020-06-03 00:00:00
383,4dc4ba83-ef37-4e47-b891-2dc839178f73,GBH Hannover,Private,5,39209.043276,Apartment; Office,Hanover,Apartment; Office; Dev Site,Hanover,Lower Saxony,,2016-06-15 00:00:00
384,a73d6fae-57fd-483f-bfe4-76c18a00f45c,GeRo Real Estate,Private,5,34804.150758,Dev Site; Office,Frankfurt am Main; Ludwigshafen am Rhein,Dev Site; Apartment; Office,Frankfurt am Main; Ludwigshafen am Rhein,Hesse; Rhineland-Palatinate,,2021-12-17 00:00:00
385,d61a400c-f906-49c1-a90c-53b2cc5a1da6,Weser Wohnbau,Private,5,19861.5153672,Dev Site; Apartment,Bremen; Hanover; Bremerhaven,Office; Apartment; Dev Site,Bremen; Bremerhaven; Hanover,Bremen; Lower Saxony,,2023-01-30 00:00:00
386,ee110013-62b0-423b-90a4-3746ec7b53bb,SHI Management GmbH,Private,5,12399.69744,Seniors Housing & Care; Office,Konz; Radebeul; Hallbergmoos,Seniors Housing & Care; Office; Industrial,Konz; Erlangen; Forchheim,Bavaria; Rhineland-Palatinate; Saxony,,2022-05-10 00:00:00
387,8d3483d3-8591-4853-ace8-8ddead9641b3,City of Leipzig,User/Other,5,74598.17976,Office; Retail,Leipzig,Dev Site; Office; Retail,Leipzig,Saxony,,2024-03-29 00:00:00
388,cc93f49d-d4db-4a55-a9fd-a57b8508a048,IREIT Global,Public,5,200598.1052868,Office,Aschheim; Bonn; Munster,Office; Parking Facility,Darmstadt; Aschheim; Bonn,North Rhine-Westphalia; Hesse; Bavaria,,2021-10-29 00:00:00
389,0e5d3680-796d-4a82-ba46-f4c3a3d608bd,Fairacre Property Holdings Ltd,Private,5,6310.8460116,Retail,Bruchsal; Kaiserslautern; Neunkirchen,Retail,Bruchsal; Kaiserslautern; Neunkirchen,Rhineland-Palatinate; Baden-Wurttemberg; North Rhine-Westphalia,,2006-07-01 00:00:00
390,09c67ed4-db67-48a5-a76e-8ddf0546cdbc,Concept Bau GmbH,Private,5,79298.06508,Dev Site; Retail,Munich; Olching,Dev Site; Apartment; Office,Munich; Olching,Bavaria,,2012-09-24 00:00:00
391,96eec44b-a2e6-48ed-b3f8-f50c51cbcc96,SPA Immobilien Schweiz,Institutional,5,,Seniors Housing & Care,Schorfheide; Cottbus; Chemnitz,Seniors Housing & Care,Schorfheide; Cottbus; Chemnitz,Brandenburg; Saxony; Baden-Wurttemberg,,2021-06-07 00:00:00
392,4c48b00f-c8f6-419c-a5d2-da2b723242e8,German Retail Income 4 Sarl; German Retail Income 2 Sarl,Private,5,14486.6402,Retail,Gutersloh; Bremerhaven; Worms,Retail,Gutersloh; Bremerhaven; Worms,North Rhine-Westphalia; Bremen; Rhineland-Palatinate,,2015-01-30 00:00:00
393,9393a2e3-475d-462b-935b-55f166abdf22,SudWERT,Private,5,41442.9887664,Apartment,Erfurt; Freiburg im Breisgau; Bad Reichenhall,Apartment,Heidelberg; Erfurt; Freiburg im Breisgau,Baden-Wurttemberg; Thuringia; Bavaria,,2023-01-26 00:00:00
394,b822614a-bf32-48e0-9d9b-19303edef289,Bietigheimer Wohnbau,Private,5,58777.5657924,Office; Dev Site,Stuttgart; Ludwigsburg; Hemmingen,Office; Dev Site; Apartment,Stuttgart; Ludwigsburg; Bietigheim-Bissingen,Baden-Wurttemberg,,2021-12-07 00:00:00
395,a6bc00ba-9cc0-469d-888f-4b2c2527773a,Tresono Family Office AG,Private,5,18494.548722,Apartment; Office,Frankfurt am Main; Schwandorf; Munich,Apartment; Office; Retail,Cologne; Frankfurt am Main; Schwandorf,North Rhine-Westphalia; Bavaria; Hesse,,2021-01-29 00:00:00
396,7ef0c917-d400-46ee-bdfe-67b3d73813ed,Software AG - Stiftung,Institutional,5,31379.234328,Office,Wiesbaden; Mannheim; Ulm,Office,Wiesbaden; Mannheim; Ulm,Hesse; Baden-Wurttemberg; North Rhine-Westphalia,,2020-09-22 00:00:00
