rank,Company ID,Investor,Capital Group,Current Holdings (objects),Holdings Area (m²),Main Holding Type,Main Holding Cities,Active Property Types,Active Cities,Active Regions,Entities / Vehicles Used,Last Activity
1961,cb67c8ee-7020-46c3-915a-cc2b3a772738,GWG Halle-Neustadt,Private,1,44998.5274272,Dev Site,Halle (Saale),Dev Site,Halle (Saale),Saxony-Anhalt,,2019-02-14 00:00:00
1962,e27ce0ab-e4d8-4aa2-b8d3-741c26f635e6,Tetronik,User/Other,1,1259.969256,Industrial,Mettmann,Industrial,Mettmann,North Rhine-Westphalia,,2015-01-31 00:00:00
1963,e27ce0ab-e4d8-4aa2-b8d3-741c26f635e6,Apetito AG,User/Other,1,44998.902,Dev Site,Rheine,Dev Site,Rheine,North Rhine-Westphalia,,2012-04-17 00:00:00
1964,4c48b00f-c8f6-419c-a5d2-da2b723242e8,Dieter Gawron,Private,1,9999.756,Dev Site,Sankt Augustin,Dev Site,Sankt Augustin,North Rhine-Westphalia,,2012-03-07 00:00:00
1965,4c48b00f-c8f6-419c-a5d2-da2b723242e8,Schumacher & Rombach,Private,1,4249.8963,Dev Site,Hurth,Dev Site,Hurth,North Rhine-Westphalia,,2014-12-31 00:00:00
1966,4c48b00f-c8f6-419c-a5d2-da2b723242e8,Frenken Group,Private,1,,Apartment,Bonn,Apartment,Bonn,North Rhine-Westphalia,,2024-01-05 00:00:00
1967,e27ce0ab-e4d8-4aa2-b8d3-741c26f635e6,Quip AG,User/Other,1,34999.146,Industrial,Heinsberg,Industrial,Heinsberg,North Rhine-Westphalia,,2016-01-28 00:00:00
1968,602bddd7-d13c-4ee3-8a99-2a6b2473d7e3,Wilhelm Weber,Private,1,8999.7804,Industrial,Esslingen am Neckar,Industrial; Dev Site,Esslingen am Neckar,Baden-Wurttemberg,,2017-04-20 00:00:00
1969,9acce215-0cc5-45a3-b609-1d7fa4ddea4c,Claussen-Simon-Stiftung,Private,1,5903.8559424,Apartment,Hamburg,Apartment,Hamburg,Hamburg,,2014-09-22 00:00:00
1970,4c48b00f-c8f6-419c-a5d2-da2b723242e8,Niehaus & Heuer Wohnbau GmbH,Private,1,3124.92375,Dev Site,Borken,Dev Site,Borken,North Rhine-Westphalia,,2020-09-15 00:00:00
1971,70356bd2-4c36-4c0b-8e98-b1f1f1375d2e,Federated Hermes,Institutional,1,10199.75112,Office,Berlin,Office,Berlin,Berlin,Hermes Property AM,2013-12-01 00:00:00
1972,4c48b00f-c8f6-419c-a5d2-da2b723242e8,GPU Gesellschaft für Immobilien- Projektentwicklung und Unternehmensberatung mbH,Private,1,14361.6495672,Office,Berlin,Office,Berlin,Berlin,,2013-06-01 00:00:00
1973,4c48b00f-c8f6-419c-a5d2-da2b723242e8,Dannenberg Immobilienhandel GmbH,Private,1,7999.8048,Office,Hanover,Office,Hanover,Lower Saxony,,2012-09-03 00:00:00
1974,e27ce0ab-e4d8-4aa2-b8d3-741c26f635e6,SVA System Vertrieb Alexander,User/Other,1,16899.58764,Dev Site,Wiesbaden,Dev Site,Wiesbaden,Hesse,,2008-11-15 00:00:00
1975,e27ce0ab-e4d8-4aa2-b8d3-741c26f635e6,Fliesenzentrum Friedrich,User/Other,1,2499.939,Industrial,Wiesbaden,Industrial,Wiesbaden,Hesse,,2019-10-02 00:00:00
1976,e27ce0ab-e4d8-4aa2-b8d3-741c26f635e6,Miry24 Logistik GmbH,User/Other,1,4705.8851736,Industrial,Reinbek,Industrial,Reinbek,Schleswig-Holstein,,2019-11-18 00:00:00
1977,e27ce0ab-e4d8-4aa2-b8d3-741c26f635e6,Mathias Schafer,User/Other,1,18999.5364,Dev Site,Wiesbaden,Dev Site,Wiesbaden,Hesse,,2013-12-21 00:00:00
1978,4c48b00f-c8f6-419c-a5d2-da2b723242e8,ParkObjekt Grüne Immobilien GmbH,Private,1,1359.966816,Industrial,Sottrum,Industrial,Sottrum,Lower Saxony,,2023-02-28 00:00:00
1979,e27ce0ab-e4d8-4aa2-b8d3-741c26f635e6,Rema-Lipprandt Gmbh,User/Other,1,15999.6096,Dev Site,Rheinbach,Dev Site,Rheinbach,North Rhine-Westphalia,,2015-09-08 00:00:00
1980,e27ce0ab-e4d8-4aa2-b8d3-741c26f635e6,Enapter,User/Other,1,75998.1456,Dev Site,Saerbeck,Dev Site,Saerbeck,North Rhine-Westphalia,,2020-10-19 00:00:00
