rank,Company ID,Investor,Capital Group,Current Holdings (objects),Holdings Area (m²),Main Holding Type,Main Holding Cities,Active Property Types,Active Cities,Active Regions,Entities / Vehicles Used,Last Activity
2221,e27ce0ab-e4d8-4aa2-b8d3-741c26f635e6,Donges GmbH & Co. KG,User/Other,1,47498.841,Dev Site,Wermelskirchen,Dev Site,Wermelskirchen,North Rhine-Westphalia,,2017-11-29 00:00:00
2222,4c48b00f-c8f6-419c-a5d2-da2b723242e8,Rudolf Kraling Grundstücksgesellschaft mbH,Private,1,1523.9628144,Office,Bochum,Office,Bochum,North Rhine-Westphalia,,2019-07-03 00:00:00
2223,4c48b00f-c8f6-419c-a5d2-da2b723242e8,Real Estate Management,Private,1,2982.9272148,Office,Heikendorf,Office,Heikendorf,Schleswig-Holstein,,2008-12-15 00:00:00
2224,b65f1947-ce73-4266-996f-85842675a890,City of Olpe,User/Other,1,26999.3412,Dev Site,Olpe,Dev Site,Olpe,North Rhine-Westphalia,,2023-09-06 00:00:00
2225,4c48b00f-c8f6-419c-a5d2-da2b723242e8,Vermögensverwaltung Hellerau GmbH,Private,1,9999.756,Office,Dresden,Office,Dresden,Saxony,,2007-11-30 00:00:00
2226,4c48b00f-c8f6-419c-a5d2-da2b723242e8,Frans Migo,Private,1,11999.7072,Dev Site,Nussbaum,Dev Site,Nussbaum,Rhineland-Palatinate,,2015-03-31 00:00:00
2227,4c48b00f-c8f6-419c-a5d2-da2b723242e8,Alpha Industries GmbH und Co. KG,Private,1,2499.939,Industrial,Neu-Isenburg,Industrial,Neu-Isenburg,Hesse,,2016-10-01 00:00:00
2228,e27ce0ab-e4d8-4aa2-b8d3-741c26f635e6,Globalways AG,User/Other,1,7305.8217336,Dev Site,Leverkusen,Dev Site,Leverkusen,North Rhine-Westphalia,,2016-11-30 00:00:00
2229,afe44b2c-c07a-45bf-8ea6-3053d2548ad3,GFG Bauherren,Private,1,8099.80236,Office,Hamburg,Apartment; Office,Hamburg,Hamburg,,2021-01-27 00:00:00
2230,4c48b00f-c8f6-419c-a5d2-da2b723242e8,MAR Hotel Investment GbR,Private,1,12199.70232,Hotel,Halle (Saale),Hotel,Halle (Saale),Saxony-Anhalt,,2013-12-11 00:00:00
2231,4c48b00f-c8f6-419c-a5d2-da2b723242e8,RRB Ramsteiner Recycling Beteiligungsgesellschaft GmbH,Private,1,17999.5608,Dev Site,Castrop-Rauxel,Dev Site,Castrop-Rauxel,North Rhine-Westphalia,,2019-09-01 00:00:00
2232,e27ce0ab-e4d8-4aa2-b8d3-741c26f635e6,VGG Geratevermietung,User/Other,1,29999.268,Dev Site,Iserlohn,Dev Site,Iserlohn,North Rhine-Westphalia,,2018-08-09 00:00:00
2233,e27ce0ab-e4d8-4aa2-b8d3-741c26f635e6,Espera-Werke,User/Other,1,34999.146,Dev Site,Duisburg,Dev Site,Duisburg,North Rhine-Westphalia,,2023-09-25 00:00:00
2234,4c48b00f-c8f6-419c-a5d2-da2b723242e8,BSG Brandsanierung GmbH,Private,1,729.982188,Office,Duisburg,Office,Duisburg,North Rhine-Westphalia,,2016-11-23 00:00:00
2235,4c48b00f-c8f6-419c-a5d2-da2b723242e8,Oberle GmbH,Private,1,2549.93778,Industrial,Lahr/Schwarzwald,Industrial,Lahr/Schwarzwald,Baden-Wurttemberg,,2023-11-23 00:00:00
2236,e27ce0ab-e4d8-4aa2-b8d3-741c26f635e6,Deiters GmbH,User/Other,1,14999.634,Dev Site,Frechen,Dev Site,Frechen,North Rhine-Westphalia,,2015-01-31 00:00:00
2237,e27ce0ab-e4d8-4aa2-b8d3-741c26f635e6,Helmut Dietz Immobilien,User/Other,1,5319.870192,Office,Pullach im Isartal,Office,Pullach im Isartal,Bavaria,,2012-11-23 00:00:00
2238,4c48b00f-c8f6-419c-a5d2-da2b723242e8,Parthena Reys,Private,1,204994.998,Dev Site,Kiel,Dev Site,Kiel,Schleswig-Holstein,,2010-10-10 00:00:00
2239,e27ce0ab-e4d8-4aa2-b8d3-741c26f635e6,Equinux AG,User/Other,1,2499.939,Office,Karlsfeld,Office,Karlsfeld,Bavaria,,2014-08-10 00:00:00
2240,4c48b00f-c8f6-419c-a5d2-da2b723242e8,Projekt Gorlitz UG & Co. KG,Private,1,32999.1948,Dev Site,Gorlitz,Dev Site,Gorlitz,Saxony,,2018-08-17 00:00:00
