rank,Company ID,Investor,Capital Group,Current Holdings (objects),Holdings Area (m²),Main Holding Type,Main Holding Cities,Active Property Types,Active Cities,Active Regions,Entities / Vehicles Used,Last Activity
3121,eaf4bf3d-c951-4ad1-b40f-9ac89e8e102a,Deutsche Gesellschaft für Internationale Zusammenarbeit (GIZ),User/Other,1,,Hotel,Bonn,Hotel,Bonn,North Rhine-Westphalia,,2013-11-22 00:00:00
3122,e27ce0ab-e4d8-4aa2-b8d3-741c26f635e6,DEG Alles fur das Dach eG,User/Other,1,1199.97072,Industrial,Asslar,Industrial,Asslar,Hesse,,2024-05-28 00:00:00
3123,e27ce0ab-e4d8-4aa2-b8d3-741c26f635e6,VM Trading GmbH,User/Other,1,2999.9268,Industrial,Wornitz,Industrial,Wornitz,Bavaria,,2015-12-22 00:00:00
3124,733a2065-ed10-482a-8d28-36e18769091b,B+W Projektentwicklung,Private,1,23999.4144,Dev Site,Ladenburg,Dev Site,Ladenburg,Baden-Wurttemberg,,2016-01-04 00:00:00
3125,e27ce0ab-e4d8-4aa2-b8d3-741c26f635e6,senne products GmbH,User/Other,1,16999.44369472,Dev Site,"Hovelhof, Sennegemeinde",Dev Site,"Hovelhof, Sennegemeinde",North Rhine-Westphalia,,2019-11-06 00:00:00
3126,e27ce0ab-e4d8-4aa2-b8d3-741c26f635e6,Paul Hildebrandt,User/Other,1,25499.16554208,Dev Site,Bergkamen,Dev Site,Bergkamen,North Rhine-Westphalia,,2018-12-14 00:00:00
3127,e27ce0ab-e4d8-4aa2-b8d3-741c26f635e6,Heinrich Mahlmann GmbH Neumobellogistik,User/Other,1,19999.512,Industrial,Steinheim,Industrial,Steinheim,North Rhine-Westphalia,,2009-11-15 00:00:00
3128,e27ce0ab-e4d8-4aa2-b8d3-741c26f635e6,Winkels Getränke Logistik GmbH,User/Other,1,9999.756,Industrial,Ostringen,Industrial,Ostringen,Baden-Wurttemberg,,2014-11-30 00:00:00
3129,4c48b00f-c8f6-419c-a5d2-da2b723242e8,Capitalcon,Private,1,2599.93656,Office,Pulheim,Office,Pulheim,North Rhine-Westphalia,,2012-02-06 00:00:00
3130,e27ce0ab-e4d8-4aa2-b8d3-741c26f635e6,Pumas Betonfoerderung,User/Other,1,2599.93656,Industrial,Florsheim am Main,Industrial,Florsheim am Main,Hesse,,2014-10-29 00:00:00
3131,e27ce0ab-e4d8-4aa2-b8d3-741c26f635e6,Hetzner Online AG,User/Other,1,1649.95974,Office,Gunzenhausen,Office,Gunzenhausen,Bavaria,,2013-10-15 00:00:00
3132,2cae2d11-bd00-45b1-a7ee-2666dcd33249,MCC Projekt,Private,1,6999.8292,Dev Site,St. Wendel,Retail; Dev Site,Kusel; St. Wendel,Rhineland-Palatinate; Saarland,,2024-01-12 00:00:00
3133,e27ce0ab-e4d8-4aa2-b8d3-741c26f635e6,Fritz Schopp KG,User/Other,1,11999.60731392,Dev Site,Olfen,Dev Site,Olfen,North Rhine-Westphalia,,2019-12-16 00:00:00
3134,29705626-6af3-47f3-be13-ca38384378ed,Ruhr University,User/Other,1,11999.7072,Industrial,Bochum,Industrial,Bochum,North Rhine-Westphalia,,2015-10-09 00:00:00
3135,e27ce0ab-e4d8-4aa2-b8d3-741c26f635e6,Knoll Holding GmbH & Co KG,User/Other,1,9999.756,Industrial,Schleiz,Industrial,Schleiz,Thuringia,,2014-03-31 00:00:00
3136,e27ce0ab-e4d8-4aa2-b8d3-741c26f635e6,ASI high pressure forming GmbH,User/Other,1,2799.93168,Industrial,Langenfeld (Rheinland),Industrial,Langenfeld (Rheinland),North Rhine-Westphalia,,2014-05-30 00:00:00
3137,e27ce0ab-e4d8-4aa2-b8d3-741c26f635e6,PE Automotive GmbH,User/Other,1,25999.3656,Industrial,Wuppertal,Industrial,Wuppertal,North Rhine-Westphalia,,2011-08-15 00:00:00
3138,4c48b00f-c8f6-419c-a5d2-da2b723242e8,Lack GmbH,Private,1,8499.7926,Industrial,Bitburg,Industrial,Bitburg,Rhineland-Palatinate,,2022-09-12 00:00:00
3139,4c48b00f-c8f6-419c-a5d2-da2b723242e8,Business Park Oldenburg GmbH,Private,1,10699.73892,Dev Site,Oldenburg (Oldenburg),Dev Site,Oldenburg (Oldenburg),Lower Saxony,,2011-08-18 00:00:00
3140,e27ce0ab-e4d8-4aa2-b8d3-741c26f635e6,Smart-Store,User/Other,1,3499.9146,Industrial,Osterholz-Scharmbeck,Industrial,Osterholz-Scharmbeck,Lower Saxony,,2015-09-24 00:00:00
