rank,Company ID,Investor,Capital Group,Current Holdings (objects),Holdings Area (m²),Main Holding Type,Main Holding Cities,Active Property Types,Active Cities,Active Regions,Entities / Vehicles Used,Last Activity
41,42766e0f-83be-4a26-b030-321932878e23,AEW,Institutional,95,1882673.875417922,Office; Industrial,Hamburg; Frankfurt am Main; Cologne,Office; Industrial; Retail,Hamburg; Berlin; Frankfurt am Main,North Rhine-Westphalia; Hamburg; Hesse,AEW Capital; AEW Europe; Curzon Global Partners; EPI Orange Holdings (+2 more),2026-05-20 00:00:00
42,8351c2e9-462b-43d7-9687-6bde2ac3feec,BayernLB,Institutional,95,1415443.990399785,Office; Retail,Hamburg; Berlin; Munich,Office; Retail; Industrial,Munich; Hamburg; Berlin,Bavaria; Hamburg; North Rhine-Westphalia,Bayerische Landesbank; Bayern Immo; Real I.S.,2026-07-08 00:00:00
43,0f010ddf-5748-4005-b211-6a32a67eb6f7,Primus Valor,Institutional,94,557461.39761,Apartment; Industrial,Essen; Eschwege; Wolfsburg,Apartment; Industrial; Office,Essen; Eschwege; Wolfsburg,North Rhine-Westphalia; Hesse; Bavaria,,2026-06-10 00:00:00
44,46722e49-a3c8-49b3-a020-fbb2a2e369a4,Helaba,Institutional,88,1610146.2441746,Apartment; Dev Site,Hamburg; Berlin; Frankfurt am Main,Apartment; Office; Dev Site,Frankfurt am Main; Berlin; Hamburg,Hesse; North Rhine-Westphalia; Berlin,GWH Immobilien Holding; OFB Projektentwicklung,2026-07-08 00:00:00
45,fa81c1a5-c0da-4be0-90fb-0a4f2fd795a7,Sirius Real Estate,Institutional,86,2836000.216501523,Industrial; Office,Dreieich; Cologne; Mannheim,Industrial; Office; Dev Site,Berlin; Munich; Dusseldorf,North Rhine-Westphalia; Hesse; Bavaria,,2026-05-28 00:00:00
46,0fd52cd2-9df7-422d-bae9-70e71423f259,Deutsche Investment,Institutional,86,1383072.2522136,Apartment; Retail,Berlin; Hamburg; Dresden,Apartment; Retail; Office,Berlin; Hamburg; Dresden,Berlin; Hamburg; Saxony,,2026-06-24 00:00:00
47,f7e120b8-001f-4af9-8f8a-9d2c0e0cb39e,FIM Immobilien,Private,86,514178.8262686,Retail; Industrial,Hanover; Wolfsburg; Duisburg,Retail; Industrial; Dev Site,Hanover; Wolfsburg; Duisburg,North Rhine-Westphalia; Lower Saxony; Bavaria,,2026-02-27 00:00:00
48,11921be9-2276-45a2-95c9-63c621b2ff1b,alstria,Public,85,1311924.832696206,Office; Retail,Dusseldorf; Hamburg; Berlin,Office; Retail; Industrial,Hamburg; Dusseldorf; Berlin,North Rhine-Westphalia; Hamburg; Hesse,alstria office Prime,2026-06-03 00:00:00
49,253612cc-43ea-4c92-bbeb-c9d7022aee3a,HanseMerkur,Institutional,84,997732.6547292,Office; Apartment,Hamburg; Frankfurt am Main; Berlin,Office; Apartment; Retail,Hamburg; Berlin; Frankfurt am Main,Bavaria; Hesse; Hamburg,,2025-11-26 00:00:00
50,153d764f-c5d2-41a8-8d69-6359318e1025,Redos Real Estate,Institutional,82,1376081.051194,Retail; Office,Wiesbaden; Mulheim an der Ruhr; Berlin,Retail; Office; Dev Site,Mulheim an der Ruhr; Wiesbaden; Cologne,North Rhine-Westphalia; Bavaria; Baden-Wurttemberg,,2024-08-06 00:00:00
51,ea49503a-d498-4233-868e-4c86eb4b0787,Sicore Real Assets,Institutional,81,944434.8936601842,Apartment; Retail,Berlin; Hamburg; Frankfurt am Main,Office; Apartment; Retail,Berlin; Hamburg; Frankfurt am Main,North Rhine-Westphalia; Hesse; Bavaria,HANSAimmobilia; Hansainvest,2025-11-11 00:00:00
52,912b76c1-8970-48c8-a622-5ba38bee9c2d,Vivawest,Private,79,813673.1213652,Apartment; Dev Site,Cologne; Essen; Dortmund,Apartment; Dev Site; Industrial,Cologne; Essen; Dortmund,North Rhine-Westphalia,,2026-06-10 00:00:00
53,4d140153-2421-41f1-86c2-0b05065169f5,Captiva GmbH,Institutional,79,644924.263464,Retail; Office,Hamburg; Berlin; Magdeburg,Retail; Office; Seniors Housing & Care,Hamburg; Berlin; Magdeburg,North Rhine-Westphalia; Saxony-Anhalt; Lower Saxony,,2025-12-02 00:00:00
54,27d4970f-8605-47fa-ac26-7d3cd00a61c2,Nuveen Real Estate (UK),Institutional,78,1637630.7678874,Industrial; Retail,Bremen; Ulm; Nuremberg,Industrial; Retail; Office,Berlin; Bremen; Hamburg,Bavaria; Baden-Wurttemberg; Lower Saxony,TH Real Estate,2026-06-30 00:00:00
55,747f9df1-45b9-4384-a51e-1891e6bec45b,DEFAMA,Private,78,287303.9896116,Retail; Other Hospitality,Heiligenroth; Schneeberg; Osnabruck,Retail; Other Hospitality,Hohn; Heiligenroth; Schneeberg,Saxony-Anhalt; Rhineland-Palatinate; Saxony,,2026-05-13 00:00:00
56,9e517847-5032-4dcd-a145-5153e8a5c46e,Pinebridge Benson Elliot,Institutional,77,287908.9748496,Apartment; Retail,Berlin; Hamburg; Hanover,Apartment; Office; Retail,Berlin; Frankfurt am Main; Dusseldorf,Berlin; North Rhine-Westphalia; Lower Saxony,Benson Elliot,2025-03-10 00:00:00
