rank,Company ID,Investor,Capital Group,Current Holdings (objects),Holdings Area (m²),Main Holding Type,Main Holding Cities,Active Property Types,Active Cities,Active Regions,Entities / Vehicles Used,Last Activity
681,488e7dd7-bea2-4bdb-8bd5-f81babb1e055,Biskupek Scheinert Investorengruppe,Institutional,3,27628.3258524,Retail,Hochst im  Odw.; Darmstadt; Kelkheim (Taunus),Retail; Apartment; Industrial,Darmstadt; Heidelberg; Budingen,Hesse; Baden-Wurttemberg,,2025-06-13 00:00:00
682,4a82b93a-9441-4940-8055-022bb89d7939,Friedemann Kunz Family Foundation,Private,3,10699.73892,Office; Apartment,Rostock,Office; Apartment; Retail,Rostock,Mecklenburg-West Pomerania,,2026-01-30 00:00:00
683,d7a4ec2d-2892-444a-a029-6c1e8c01c810,Johanniter-Unfall-Hilfe,User/Other,3,20609.497116,Industrial; Seniors Housing & Care,Bremen; Giessen; Gelsenkirchen,Industrial; Seniors Housing & Care,Bremen; Giessen; Gelsenkirchen,Bremen; Hesse; North Rhine-Westphalia,,2024-11-28 00:00:00
684,12244116-55d9-4c81-9681-2d74527ce06f,Complemus Real Estate,Private,3,157646.15334,Dev Site,Norvenich; Monheim am Rhein; Solingen,Industrial; Dev Site; Parking Facility,Monheim am Rhein; Wuppertal; Norvenich,North Rhine-Westphalia; Bavaria; Rhineland-Palatinate,,2026-06-16 00:00:00
685,4a4218c2-4b87-4d0d-a585-a58503e4f721,Best Western,Private,3,,Hotel,Frankfurt am Main; Bochum; Wilhelmshaven,Hotel,Berlin; Munich; Frankfurt am Main,Berlin; Bavaria; Hesse,BWH Hotel Group Central Europe,2026-03-30 00:00:00
686,bd1a1eb8-41a6-447a-925f-1234e92615f2,CTR Group,Private,3,31857.2226648,Dev Site,Dresden,Dev Site; Apartment,Dresden,Saxony,,2025-10-15 00:00:00
687,c451940d-e44a-4b74-baed-07dc1cc9eb2b,Argon GmbH & Co KG,Private,3,15999.6096,Office; Retail,Mannheim,Office; Apartment; Dev Site,Mannheim; Schonefeld; Neckarsulm,Baden-Wurttemberg; Brandenburg,,2026-07-21 00:00:00
688,826644e5-062e-43cb-b6bd-2d6d91527576,City of Nuremberg,User/Other,3,47998.76220928,Dev Site; Retail,Nuremberg,Dev Site; Retail,Nuremberg,Bavaria,,2024-07-29 00:00:00
689,ab988a61-93b1-4aa3-aaef-175d217e70ed,Microsoft,User/Other,3,719978.5175656,Dev Site,Grevenbroich; Elsdorf,Dev Site,Grevenbroich; Elsdorf,North Rhine-Westphalia,,2026-07-01 00:00:00
690,2ef738df-0c03-4d99-a31b-ae0ac7a2cf9f,Ralf Schmitz Wohnungsbau,Private,3,17071.5834432,Apartment; Office,Dusseldorf; Hamburg,Apartment; Office; Dev Site,Dusseldorf; Hamburg,North Rhine-Westphalia; Hamburg,,2024-08-27 00:00:00
691,1f7bc9c9-0ba5-4407-89d8-6beb54a5d6e1,Wohngroup,Private,3,66748.3713,Dev Site,Halle (Saale); Erfurt; Gera,Dev Site,Halle (Saale); Erfurt; Gera,Thuringia; Saxony-Anhalt,tempus24,2026-04-21 00:00:00
692,a6dde095-fc76-4291-89af-5887120c7cb1,Colt Data Centre Services,Private,3,119440.9016244,Dev Site,Frankfurt am Main; Berlin,Dev Site; Data Center,Berlin; Frankfurt am Main; Hamburg,Berlin; Hesse; Hamburg,,2025-04-07 00:00:00
693,50ed6e48-0a94-43d8-8e75-34f5ae89de46,Sterlon Asset Management,Private,3,16792.5902508,Office; Retail,Offenbach am Main; Darmstadt; Wiesbaden,Office; Retail,Offenbach am Main; Darmstadt; Wiesbaden,Hesse,,2025-11-25 00:00:00
694,09188d14-56fe-4c45-af6b-051c7e7035c9,Alfons & Alfreda Management,Private,3,50798.76048,Dev Site,Cologne,Dev Site; Office,Cologne; Sindelfingen; Dusseldorf,North Rhine-Westphalia; Baden-Wurttemberg,,2026-04-16 00:00:00
695,55252c6b-8524-436e-b66a-6a494f7b5a97,Premium Immobilien,Private,3,10409.745996,Dev Site; Apartment,Berlin; Dresden,Dev Site; Apartment,Berlin; Magdeburg; Dresden,Berlin; Saxony-Anhalt; Saxony,,2025-09-26 00:00:00
696,4ce4713f-b7f8-4c92-9ed7-93a692e7548f,HubOne Real Estate,Private,3,65469.069554,Dev Site; Industrial,Rodgau; Hanau; Langenselbold,Industrial; Dev Site,Rodgau; Weiterstadt; Hanau,Hesse,F&F LandInvest GmbH,2025-08-20 00:00:00
697,67239907-2ea1-43d1-af65-4ea9c89c0335,Foremost Hospitality,Private,3,7069.827492,Hotel; Dev Site,Leipzig; Cologne; Dresden,Hotel; Dev Site,Leipzig; Cologne; Berlin,Saxony; North Rhine-Westphalia; Berlin,,2025-05-01 00:00:00
