rank,Company ID,Investor,Capital Group,Current Holdings (objects),Holdings Area (m²),Main Holding Type,Main Holding Cities,Active Property Types,Active Cities,Active Regions,Entities / Vehicles Used,Last Activity
501,f5535c48-f50f-4ff1-a248-d6dc48efb290,Stinag Stuttgart Invest AG,Institutional,6,23007.4386048,Office; Retail,Stuttgart; Karlsruhe; Boblingen,Retail; Office; Apartment,Stuttgart; Karlsruhe; Boblingen,Baden-Wurttemberg,,2025-04-02 00:00:00
502,cb2829ca-20e9-47ce-9dcd-a9ad8eea1490,denkmalneu Gruppe,Private,6,147296.40588,Office; Apartment,Leipzig; Dresden; Munich,Office; Hotel; Apartment,Leipzig; Munich; Erlangen,Bavaria; Saxony; Bremen,,2026-02-12 00:00:00
503,cf61a58d-dea8-433a-b4c3-11fe4158d749,Evolutiq,Institutional,6,154796.22288,Dev Site,"Cologne; Hanau, Bruder-Grimm-Stadt; Blankenfelde-Mahlow",Dev Site; Industrial,"Mannheim; Cologne; Hanau, Bruder-Grimm-Stadt",North Rhine-Westphalia; Baden-Wurttemberg; Hesse,,2026-03-25 00:00:00
504,0cb4a4d1-bcb8-4de2-8ce3-86f0f5a6c777,Orna & Arthur Wiener GmbH,Private,6,15803.8466324,Apartment; Office,Frankfurt am Main,Office; Apartment; Parking Facility,Frankfurt am Main,Hesse,,2025-11-15 00:00:00
505,edf73c74-e5fb-4c3b-b63c-d4c1c6f454dd,Scannell Properties,Private,6,529586.0777844,Dev Site; Industrial,Hockenheim; Aachen; Kitzingen,Dev Site; Industrial,Kitzingen; Hockenheim; Aachen,Bavaria; Hesse; Baden-Wurttemberg,,2025-11-15 00:00:00
506,bf6f6523-b8c8-4b67-acb9-78b633894d5d,Montis Real Estate,Institutional,6,164836.9778796,Industrial; Dev Site,Hockenheim; Hohe Borde; Altdorf bei Nurnberg,Industrial; Dev Site; Office,Hockenheim; Hohe Borde; Altdorf bei Nurnberg,Saxony-Anhalt; Bavaria; Saxony,,2024-09-18 00:00:00
507,cbf04de9-c8fb-48dd-8089-894860b302f3,Ogilvy Capital,Institutional,6,43701.9336468,Hotel,Wiesbaden; Bremen; Braunschweig,Hotel,Wiesbaden; Bremen; Braunschweig,Hesse; Bremen; Lower Saxony,,2026-06-22 00:00:00
508,542c600e-fd95-49a9-94be-1498a7558c19,Ironstone Group,Institutional,6,43701.9336468,Hotel,Wiesbaden; Bremen; Braunschweig,Hotel,Wiesbaden; Bremen; Braunschweig,Hesse; Bremen; Lower Saxony,,2026-06-22 00:00:00
509,73d0fb06-69f5-4070-8cba-cd5d47cb5f78,GreenPlaces Deutschland Asset Management GmbH,Private,6,37199.09232,Dev Site,Denkendorf; Aichtal; Markdorf,Dev Site,Denkendorf; Aichtal; Markdorf,Baden-Wurttemberg; Hesse; Rhineland-Palatinate,,2026-06-23 00:00:00
510,9f04b2ad-634a-4e79-9255-bf0a7842fc16,City of Mainz ,User/Other,6,742634.05632144,Dev Site; Office,Mainz,Dev Site; Office,Mainz,Rhineland-Palatinate,Zollhafen Mainz,2025-07-23 00:00:00
511,5cb06998-0c5b-4b3b-9718-8898dea7ade6,MDI - Mitteldeutsche Immobilien,Private,6,24112.4116428,Office; Hotel,Leipzig; Chemnitz; Ruppertsberg,Office; Hotel; Industrial,Leipzig; Chemnitz; Ruppertsberg,Saxony; Rhineland-Palatinate; North Rhine-Westphalia,,2026-06-09 00:00:00
512,2ad10b3b-c087-4494-b15e-6c060e0666a7,City of Dortmund,User/Other,6,636125.4781596,Office; Industrial,Dortmund,Dev Site; Office; Industrial,Dortmund,North Rhine-Westphalia,,2026-07-15 00:00:00
513,94a1fe28-88c5-4423-96e2-cd30511c6f7c,Muller & Bremermann,Private,6,42753.93634,Office; Retail,Bremen,Office; Retail; Industrial,Bremen,Bremen,,2024-08-22 00:00:00
514,13c28a7a-19ed-485e-9bd8-4fedc299ca68,MCM AG,Private,6,12014.706834,Apartment; Industrial,Magdeburg; Halle (Saale); Leipzig,Apartment; Industrial,Magdeburg; Halle (Saale); Leipzig,Saxony-Anhalt; Saxony,,2025-10-29 00:00:00
515,43ab15dd-ab12-43e9-81f0-5f3bb52dadb2,AREIM,Institutional,6,182389.5495864,Industrial,Erfurt; Halle (Saale),Industrial,Erfurt; Halle (Saale),Thuringia; Saxony-Anhalt,,2025-11-28 00:00:00
516,7bc9d51e-4258-4b88-9801-513792f05120,Beethoven Gruppe,Private,6,78848.07605999999,Dev Site; Office,Wurzburg; Mullheim,Dev Site; Office,Wurzburg; Kassel; Mullheim,Bavaria; Hesse; Baden-Wurttemberg,,2025-06-09 00:00:00
517,703b1ffa-6664-4f16-85cb-3640577f1d49,Adolf Weber GmbH,Private,6,92987.731044,Dev Site; Retail,Dortmund; Norderstedt; Hamburg,Dev Site; Industrial; Retail,Dortmund; Lubeck; Hamburg,North Rhine-Westphalia; Schleswig-Holstein; Hamburg,,2026-04-14 00:00:00
518,d7f419ed-32ad-45ca-9c46-1896c4bfe342,Lagerbox,User/Other,6,52387.7217084,Self Storage; Dev Site,Hanover; Recklinghausen; Dusseldorf,Self Storage; Dev Site; Retail,Hanover; Recklinghausen; Dusseldorf,Lower Saxony; North Rhine-Westphalia; Saxony,,2025-09-01 00:00:00
519,66ef8d7f-b7a4-49ab-bee6-4721a159b451,Consent Retail Investment,Private,6,62098.48476,Retail,"Augsburg; Gelnhausen, Barbarossast., Krst.; Bautzen",Retail,"Augsburg; Niederfullbach; Gelnhausen, Barbarossast., Krst.",Bavaria; Hesse; Saxony,,2024-12-31 00:00:00
520,7ae82693-8bde-4d81-9a59-9bdca93567ca,Centralis Immobilien Holding GmbH,Private,6,21628.4722524,Hotel; Industrial,Nuremberg; Haan; Hamburg,Hotel; Industrial; Dev Site,Nuremberg; Haan; Hamburg,North Rhine-Westphalia; Bavaria; Hamburg,,2025-11-15 00:00:00
