rank,Company ID,Investor,Capital Group,Current Holdings (objects),Holdings Area (m²),Main Holding Type,Main Holding Cities,Active Property Types,Active Cities,Active Regions,Entities / Vehicles Used,Last Activity
4391,a8989836-734b-4a4c-9b0b-ba4bb658d651,Sparkasse Munich,Institutional,1,7847.8085088,Apartment,Munich,Apartment,Munich,Bavaria,,2011-06-11 00:00:00
4392,4c48b00f-c8f6-419c-a5d2-da2b723242e8,Hoveler Spezialfutterwerke GmbH,Private,1,5899.85604,Industrial,Dormagen,Industrial,Dormagen,North Rhine-Westphalia,,2009-02-25 00:00:00
4393,e27ce0ab-e4d8-4aa2-b8d3-741c26f635e6,Zweckverband Abfallverwertung Südostbayern (ZAS),User/Other,1,10999.7316,Dev Site,Muhldorf am Inn,Dev Site,Muhldorf am Inn,Bavaria,,2013-04-24 00:00:00
4394,7328f199-fb01-4fae-9754-6027eb4ea68d,Strategia Investment Co,Institutional,1,10133.7527304,Office,Bad Homburg vor der Hohe,Office,Bad Homburg vor der Hohe,Hesse,,2015-03-06 00:00:00
4395,e27ce0ab-e4d8-4aa2-b8d3-741c26f635e6,XbO GmbH,User/Other,1,659.983896,Office,Egelsbach,Office,Egelsbach,Hesse,,2017-09-14 00:00:00
4396,e27ce0ab-e4d8-4aa2-b8d3-741c26f635e6,Kemmler Baustoffe,User/Other,1,6899.83164,Industrial,Reutlingen,Industrial,Reutlingen,Baden-Wurttemberg,,2020-06-30 00:00:00
4397,4c48b00f-c8f6-419c-a5d2-da2b723242e8,Riebel Bauunternehmung,Private,1,9999.756,Dev Site,Dachau,Dev Site,Dachau,Bavaria,,2017-07-04 00:00:00
4398,e27ce0ab-e4d8-4aa2-b8d3-741c26f635e6,Govinda Natur GmbH,User/Other,1,4869.881172,Industrial,Neuhofen,Industrial,Neuhofen,Rhineland-Palatinate,,2013-01-10 00:00:00
4399,4c48b00f-c8f6-419c-a5d2-da2b723242e8,Inter-Kapital Real Estate,Private,1,9999.756,Industrial,Gersthofen,Industrial,Gersthofen,Bavaria,,2020-02-05 00:00:00
4400,4c48b00f-c8f6-419c-a5d2-da2b723242e8,Business Property Development,Private,1,28279.309968,Dev Site,Bonen,Dev Site,Bonen,North Rhine-Westphalia,,2024-07-05 00:00:00
4401,e27ce0ab-e4d8-4aa2-b8d3-741c26f635e6,Robatherm,User/Other,1,95996.85851136,Dev Site,Jettingen-Scheppach,Dev Site,Jettingen-Scheppach,Bavaria,,2009-08-15 00:00:00
4402,e27ce0ab-e4d8-4aa2-b8d3-741c26f635e6,Alternate GmbH,User/Other,1,23999.4144,Dev Site,Linden,Dev Site,Linden,Hesse,,2019-03-19 00:00:00
4403,e27ce0ab-e4d8-4aa2-b8d3-741c26f635e6,Schenk Consulting,User/Other,1,29999.268,Dev Site,Markranstadt,Dev Site,Markranstadt,Saxony,,2016-09-05 00:00:00
4404,4c48b00f-c8f6-419c-a5d2-da2b723242e8,Projekt Maybach Beteiligungs GmbH,Private,1,10699.73892,Dev Site,Stuttgart,Dev Site,Stuttgart,Baden-Wurttemberg,,2014-02-28 00:00:00
4405,4c48b00f-c8f6-419c-a5d2-da2b723242e8,Goldwert Gruppe,Private,1,2649.93534,Dev Site,Hamburg,Dev Site,Hamburg,Hamburg,,2011-06-20 00:00:00
