rank,Company ID,Investor,Capital Group,Current Holdings (objects),Holdings Area (m²),Main Holding Type,Main Holding Cities,Active Property Types,Active Cities,Active Regions,Entities / Vehicles Used,Last Activity
1441,e27ce0ab-e4d8-4aa2-b8d3-741c26f635e6,Nero AG,User/Other,1,719.982432,Office,Hanover,Office,Hanover,Lower Saxony,,2025-10-27 00:00:00
1442,4c48b00f-c8f6-419c-a5d2-da2b723242e8,Artbau,Private,1,6699.83652,Dev Site,Wachtersbach,Dev Site,Wachtersbach,Hesse,,2025-08-22 00:00:00
1443,e27ce0ab-e4d8-4aa2-b8d3-741c26f635e6,Meyers GmbH,User/Other,1,,Industrial,Langenfeld (Rheinland),Industrial,Langenfeld (Rheinland),North Rhine-Westphalia,,2025-03-13 00:00:00
1444,4c48b00f-c8f6-419c-a5d2-da2b723242e8,Ebner Immobilien GmbH & Co. KG,Private,1,16589.595204,Apartment,Fellbach,Apartment,Fellbach,Baden-Wurttemberg,,2025-08-09 00:00:00
1445,eaf4bf3d-c951-4ad1-b40f-9ac89e8e102a,City of Velten,User/Other,1,447.9890688,Apartment,Heidelberg,Apartment,Heidelberg,Baden-Wurttemberg,,2024-08-15 00:00:00
1446,eaf4bf3d-c951-4ad1-b40f-9ac89e8e102a,Stadt Leichlingen,User/Other,1,,Apartment,Leichlingen (Rheinland),Apartment,Leichlingen (Rheinland),North Rhine-Westphalia,,2025-10-02 00:00:00
1447,eaf4bf3d-c951-4ad1-b40f-9ac89e8e102a,Stadt Villingen-Schwenningen,User/Other,1,7404.819318,Retail,Villingen-Schwenningen,Retail,Villingen-Schwenningen,Baden-Wurttemberg,,2024-08-14 00:00:00
1448,2c9257d0-1a9d-4b64-bfc9-8404879a46cf,Stadtsparkasse Schwerte,Institutional,1,29999.268,Apartment,Schwerte an der Ruhr,Apartment,Schwerte an der Ruhr,North Rhine-Westphalia,,2025-09-09 00:00:00
1449,ebfd18cd-b81b-42a5-808b-3b209258637c,Niedax GmbH & Co. KG,User/Other,1,21499.4754,Industrial,Neustadt (Wied),Industrial,Neustadt (Wied),Rhineland-Palatinate,,2025-03-28 00:00:00
1450,4c48b00f-c8f6-419c-a5d2-da2b723242e8,tB Verkerk Projects B.V. NL,Private,1,17729.567388,Office,Dusseldorf,Office,Dusseldorf,North Rhine-Westphalia,,2024-09-03 00:00:00
1451,e27ce0ab-e4d8-4aa2-b8d3-741c26f635e6,Majamo GmbH,User/Other,1,32999.1948,Dev Site,Wallenhorst,Dev Site,Wallenhorst,Lower Saxony,,2026-04-23 00:00:00
1452,4c48b00f-c8f6-419c-a5d2-da2b723242e8,AR Hotels Ltd,Private,1,,Hotel,Mannheim,Hotel,Mannheim,Baden-Wurttemberg,,2025-01-21 00:00:00
1453,3e917515-78c3-4872-a2c7-501aca314738,Karl Group,Private,1,15799.61448,Industrial,Hengersberg,Industrial,Hengersberg,Bavaria,,2026-06-23 00:00:00
1454,4c48b00f-c8f6-419c-a5d2-da2b723242e8,Metzgerei Heinrich,Private,1,1099.97316,Industrial,Frankfurt am Main,Industrial,Frankfurt am Main,Hesse,,2025-09-22 00:00:00
1455,4c48b00f-c8f6-419c-a5d2-da2b723242e8,Kokomo Capital GmbH,Private,1,,Hotel,Rottach-Egern,Hotel,Rottach-Egern,Bavaria,,2025-12-12 00:00:00
1456,e27ce0ab-e4d8-4aa2-b8d3-741c26f635e6,Wodeer Technologie Europe GmbH,User/Other,1,2379.941928,Industrial,Adelberg,Industrial,Adelberg,Baden-Wurttemberg,,2025-07-28 00:00:00
1457,f41a0248-a036-4586-b56d-77600e2fb151,InterSPA Deutschland Betreiber-GmbH,User/Other,1,,Hotel,Biersdorf am See,Hotel,Biersdorf am See,Rhineland-Palatinate,,2025-04-04 00:00:00
1458,4c48b00f-c8f6-419c-a5d2-da2b723242e8,Oliver Blume,Private,1,23499.4266,Retail,Hanover,Retail,Hanover,Lower Saxony,,2025-08-26 00:00:00
1459,4c48b00f-c8f6-419c-a5d2-da2b723242e8,City Link Logistics,Private,1,9499.7682,Industrial,Haan,Industrial,Haan,North Rhine-Westphalia,,2024-10-24 00:00:00
1460,4c48b00f-c8f6-419c-a5d2-da2b723242e8,CapRate Values,Private,1,18432.5502348,Retail,Trier,Retail,Trier,Rhineland-Palatinate,,2024-10-01 00:00:00
1461,4c48b00f-c8f6-419c-a5d2-da2b723242e8,REAK real estate GmbH,Private,1,9999.756,Retail,Bad Durrenberg,Retail,Bad Durrenberg,Saxony-Anhalt,,2024-08-21 00:00:00
1462,afe9fb80-ea5c-4966-b9e2-8c63a698b871,MyShare SCPI,Private,1,,Other Hospitality,Medebach,Other Hospitality,Medebach,North Rhine-Westphalia,,2025-01-14 00:00:00
1463,e27ce0ab-e4d8-4aa2-b8d3-741c26f635e6,Frischemarkte BAUR Konstanz KG,User/Other,1,3474.91521,Retail,Konstanz,Retail,Konstanz,Baden-Wurttemberg,,2026-06-16 00:00:00
1464,f0477f7b-53a6-4d7e-a3b2-4f145b23d7cf,Kreissparkasse Munchen-Starnberg-Ebersberg,Institutional,1,7999.8048,Office,Munich,Office,Munich,Bavaria,,2026-06-30 00:00:00
1465,4c48b00f-c8f6-419c-a5d2-da2b723242e8,Dana Immobilien,Private,1,1584.961326,Apartment,Berlin,Apartment,Berlin,Berlin,,2025-01-01 00:00:00
1466,4c48b00f-c8f6-419c-a5d2-da2b723242e8,FSW Fortuna Senioren Wohnen,Private,1,1584.961326,Apartment,Berlin,Apartment,Berlin,Berlin,,2025-01-01 00:00:00
1467,e27ce0ab-e4d8-4aa2-b8d3-741c26f635e6,igus SE & Co. KG,User/Other,1,21999.4632,Dev Site,Cologne,Dev Site,Cologne,North Rhine-Westphalia,,2025-12-09 00:00:00
1468,4c48b00f-c8f6-419c-a5d2-da2b723242e8,Retzer Industry Eitorf GmbH & Co. KG,Private,1,52498.719,Industrial,Eitorf,Industrial,Eitorf,North Rhine-Westphalia,,2024-08-15 00:00:00
1469,4c48b00f-c8f6-419c-a5d2-da2b723242e8,WH Capital Partners,Private,1,2299.94388,Industrial,Erfurt,Industrial,Erfurt,Thuringia,,2025-07-02 00:00:00
